"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_8";"verf_100_10";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_8";"verf_dsl_10";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_8";"verf_catv_10";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000"
"01";99.87;99.85;99.72;99.41;99.39;99.30;96.25;95.74;90.06;79.80;67.08;62.99;99.44;99.17;97.80;95.27;95.05;94.30;85.57;84.09;74.25;49.93;50.80;50.80;50.80;50.80;50.80;50.80;50.80;50.80;50.80;50.80;45.13;39.16;33.72;33.72;33.72;33.72
"02";99.99;99.94;99.86;99.83;99.82;99.77;99.47;99.36;98.60;95.83;94.53;94.53;99.99;99.94;99.80;99.43;99.24;97.86;94.18;92.30;87.82;68.01;75.38;75.38;75.38;75.38;75.38;75.38;75.38;75.38;75.38;75.38;75.38;75.38;85.33;85.31;85.30;85.30
"03";99.69;99.53;99.20;98.48;98.42;98.16;93.18;89.88;79.15;69.29;58.22;52.15;99.32;99.00;98.34;97.01;96.84;96.21;85.41;80.03;62.22;43.09;44.02;44.02;44.02;44.02;44.02;44.02;44.02;44.02;44.02;43.77;42.08;34.97;23.50;23.50;23.50;23.49
"04";99.34;98.66;98.09;97.78;97.74;97.43;94.38;94.27;92.24;88.42;84.60;84.60;98.89;98.50;97.43;96.81;96.49;95.92;87.38;86.01;77.24;60.37;52.68;52.68;52.68;52.68;52.68;52.68;52.68;52.68;52.68;52.68;52.68;52.68;56.19;56.19;56.19;56.19
"05";99.85;99.80;99.57;99.23;99.20;98.94;95.90;95.37;88.70;74.64;60.64;44.87;99.71;99.60;98.94;98.20;98.06;97.42;92.18;91.04;81.00;57.21;43.23;43.23;43.23;43.23;43.23;43.23;43.23;43.23;43.23;43.23;42.92;25.03;29.09;25.59;25.25;24.95
"06";99.77;99.71;99.57;99.30;99.26;99.07;96.74;96.12;88.24;77.16;59.60;45.43;99.65;99.56;99.15;98.72;98.58;97.54;93.39;92.23;79.19;58.91;47.41;47.41;47.41;47.41;47.41;47.41;47.41;47.41;47.41;47.41;47.41;30.03;21.17;21.17;21.17;21.17
"07";99.60;99.44;99.10;98.66;98.58;98.26;94.62;92.90;83.08;68.94;52.82;45.35;99.25;98.94;98.12;97.18;96.93;96.14;89.33;86.55;72.07;47.89;35.33;35.33;35.33;35.33;35.33;35.33;35.33;35.33;35.33;34.82;31.54;23.03;26.33;26.33;26.33;26.33
"08";99.85;99.73;99.50;99.07;99.01;98.75;94.96;94.01;86.89;73.94;59.78;42.18;99.40;99.19;98.06;97.14;96.89;95.94;89.72;88.10;77.54;54.33;45.72;45.72;45.72;45.72;45.72;45.72;45.72;45.72;45.72;45.72;45.69;25.83;22.01;21.92;21.73;21.00
"09";99.92;99.89;99.81;99.66;99.64;99.51;97.04;95.95;89.92;77.10;61.68;58.55;99.68;99.56;99.18;98.74;98.60;98.02;91.07;89.27;80.70;60.58;50.90;50.90;50.90;50.90;50.90;50.90;50.87;50.87;50.87;50.36;48.27;44.13;26.90;25.23;24.96;24.39
"10";99.81;99.73;99.48;99.31;99.25;99.01;96.90;94.61;87.62;69.91;60.85;56.78;99.52;99.30;98.20;97.93;97.79;97.12;93.72;90.76;79.94;50.15;54.30;54.30;54.30;54.30;54.30;54.30;54.30;54.30;54.30;54.22;53.74;49.59;11.65;11.65;11.38;11.38
