"AGS","leitungsg. Technologien ≥ 1 Mbit/s","leitungsg. Technologien ≥ 2 Mbit/s","leitungsg. Technologien ≥ 6 Mbit/s","leitungsg. Technologien ≥ 16 Mbit/s","leitungsg. Technologien ≥ 30 Mbit/s","leitungsg. Technologien ≥ 50 Mbit/s","leitungsg. Technologien ≥ 100 Mbit/s","leitungsg. Technologien ≥ 200 Mbit/s","leitungsg. Technologien ≥ 400 Mbit/s","leitungsg. Technologien ≥ 1000 Mbit/s","DSL ≥ 1 Mbit/s","DSL ≥ 2 Mbit/s","DSL ≥ 6 Mbit/s","DSL ≥ 16 Mbit/s","DSL ≥ 30 Mbit/s","DSL ≥ 50 Mbit/s","DSL ≥ 100 Mbit/s","DSL ≥ 200 Mbit/s","CATV ≥ 1 Mbit/s","CATV ≥ 2 Mbit/s","CATV ≥ 6 Mbit/s","CATV ≥ 16 Mbit/s","CATV ≥ 30 Mbit/s","CATV ≥ 50 Mbit/s","CATV ≥ 100 Mbit/s","CATV ≥ 200 Mbit/s","CATV ≥ 400 Mbit/s","CATV ≥ 1000 Mbit/s","FTTH/B ≥ 100 Mbit/s","FTTH/B ≥ 200 Mbit/s","FTTH/B ≥ 400 Mbit/s","FTTH/B ≥ 1000 Mbit/s"
"15087210",97.16,81.27,2.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,97.16,81.27,2.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15087220",99.98,99.60,96.36,84.43,83.37,80.75,77.07,73.73,0.00,0.00,99.90,99.52,96.05,78.20,77.09,72.83,58.82,31.02,71.06,71.06,71.06,71.06,71.06,71.06,71.06,71.06,0.00,0.00,0.00,0.00,0.00,0.00
"15087250",99.97,99.97,98.21,94.26,90.57,84.26,44.10,0.00,0.00,0.00,99.97,99.97,98.21,94.26,90.57,84.26,44.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15087260",89.00,68.65,4.15,2.59,2.59,2.59,0.00,0.00,0.00,0.00,89.00,68.65,4.15,2.59,2.59,2.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15087275",99.99,99.75,76.27,48.23,46.49,39.32,26.63,8.20,0.00,0.00,99.99,99.75,76.27,48.23,46.49,39.32,26.63,8.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15087370",99.95,99.94,96.55,72.24,62.06,54.18,43.36,26.27,20.63,0.22,99.94,99.93,95.09,61.53,56.48,52.02,40.66,23.49,20.77,20.77,20.77,20.77,20.77,20.77,20.77,20.77,20.63,0.22,0.00,0.00,0.00,0.00
"15087386",99.76,98.27,65.33,51.87,50.32,44.20,33.20,13.75,1.74,1.74,99.76,98.27,65.29,51.83,50.28,44.16,33.17,12.30,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.00,0.00,1.74,1.74,1.74,1.74
"15087412",99.94,99.48,90.79,74.83,70.35,66.16,50.95,30.37,23.60,23.60,99.94,99.48,90.55,55.32,50.72,46.37,36.54,15.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.60,23.60,23.60,23.60
"15087440",99.99,99.99,99.17,97.60,94.80,75.83,53.68,30.44,0.00,0.00,99.99,99.99,99.17,97.60,94.80,75.83,53.68,30.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15087470",99.46,98.08,9.83,2.51,2.51,2.51,0.00,0.00,0.00,0.00,99.46,98.08,9.83,2.51,2.51,2.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15088020",99.13,97.21,89.99,87.90,86.81,83.95,72.15,64.70,29.79,0.43,99.12,97.21,89.98,86.88,85.24,82.37,63.52,32.98,54.31,54.31,54.31,54.31,54.31,54.31,54.31,54.31,29.79,0.00,0.43,0.43,0.43,0.43
"15088025",93.17,91.76,80.78,49.79,47.93,46.48,35.95,14.79,0.00,0.00,92.96,91.76,80.57,49.79,47.93,46.48,35.95,14.79,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.00,0.00,0.00,0.00,0.00,0.00
"15088030",99.99,99.99,99.99,99.99,98.45,97.59,77.70,19.41,0.00,0.00,99.99,99.99,99.99,99.99,98.45,97.59,77.70,19.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15088065",97.03,91.42,81.87,71.93,70.89,70.19,65.97,65.85,43.20,11.07,97.03,91.42,81.30,47.59,43.98,42.09,34.19,26.65,47.75,47.75,47.75,47.75,47.75,47.75,47.75,47.49,32.13,0.00,11.07,11.07,11.07,11.07
"15088100",100.00,99.91,99.80,99.80,99.01,88.37,58.17,21.02,0.00,0.00,100.00,99.91,99.80,99.80,99.01,88.37,58.17,21.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"15088150",99.87,99.82,96.77,81.72,78.26,73.07,46.14,40.99,31.76,31.76,98.92,98.88,94.50,76.98,72.46,65.38,37.15,17.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31.76,31.76,31.76,31.76
"15088195",95.75,91.14,77.96,65.82,60.01,57.74,47.76,22.74,13.19,13.19,95.20,90.60,77.42,65.15,59.33,57.07,47.08,12.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.19,13.19,13.19,13.19
"15088205",97.68,96.07,89.59,78.50,76.91,76.50,61.08,53.41,28.83,11.54,96.33,94.72,87.83,76.86,74.69,73.61,57.20,31.72,26.44,26.44,26.44,26.44,26.44,26.44,26.44,26.44,18.85,0.00,11.54,11.54,11.54,11.54
"15088216",99.78,99.10,98.13,72.24,69.78,67.28,48.65,6.21,0.28,0.28,99.78,99.10,98.13,72.24,69.78,67.28,48.65,6.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.28,0.28
