"AGS";"leitungsg. Technologien ≥ 1 Mbit/s";"leitungsg. Technologien ≥ 2 Mbit/s";"leitungsg. Technologien ≥ 6 Mbit/s";"leitungsg. Technologien ≥ 16 Mbit/s";"leitungsg. Technologien ≥ 30 Mbit/s";"leitungsg. Technologien ≥ 50 Mbit/s";"leitungsg. Technologien ≥ 100 Mbit/s";"leitungsg. Technologien ≥ 200 Mbit/s";"leitungsg. Technologien ≥ 400 Mbit/s";"leitungsg. Technologien ≥ 1000 Mbit/s";"DSL ≥ 1 Mbit/s";"DSL ≥ 2 Mbit/s";"DSL ≥ 6 Mbit/s";"DSL ≥ 16 Mbit/s";"DSL ≥ 30 Mbit/s";"DSL ≥ 50 Mbit/s";"DSL ≥ 100 Mbit/s";"DSL ≥ 200 Mbit/s";"CATV ≥ 1 Mbit/s";"CATV ≥ 2 Mbit/s";"CATV ≥ 6 Mbit/s";"CATV ≥ 16 Mbit/s";"CATV ≥ 30 Mbit/s";"CATV ≥ 50 Mbit/s";"CATV ≥ 100 Mbit/s";"CATV ≥ 200 Mbit/s";"CATV ≥ 400 Mbit/s";"CATV ≥ 1000 Mbit/s";"FTTH/B ≥ 100 Mbit/s";"FTTH/B ≥ 200 Mbit/s";"FTTH/B ≥ 400 Mbit/s";"FTTH/B ≥ 1000 Mbit/s"
"08118051";99.99;99.99;97.65;94.03;89.58;86.94;66.61;66.61;66.61;0.00;99.99;99.99;97.62;93.57;81.62;78.67;8.63;8.63;66.61;66.61;66.61;66.61;66.61;66.61;66.61;66.61;66.61;0.00;0.00;0.00;0.00;0.00
"08118053";99.99;99.99;96.16;94.01;94.01;92.88;81.46;81.46;74.18;0.00;99.99;99.69;87.91;85.63;85.63;84.49;65.79;65.79;74.18;74.18;74.18;74.18;74.18;74.18;74.18;74.18;74.18;0.00;0.00;0.00;0.00;0.00
"08118054";99.97;99.97;99.97;98.38;91.05;86.55;58.23;58.23;56.29;0.00;99.97;99.97;99.97;98.27;88.75;73.56;22.52;22.52;56.29;56.29;56.29;56.29;56.29;56.29;56.29;56.29;56.29;0.00;0.00;0.00;0.00;0.00
"08118059";99.40;99.40;99.30;98.30;97.19;94.06;49.75;49.75;15.15;0.00;98.48;98.48;97.94;96.95;95.84;83.28;35.07;35.07;15.15;15.15;15.15;15.15;15.15;15.15;15.15;15.15;15.15;0.00;0.00;0.00;0.00;0.00
"08118060";99.07;99.07;98.80;98.74;98.10;97.80;80.58;80.58;48.99;0.00;99.02;99.02;98.69;98.14;97.45;97.05;74.87;74.87;48.99;48.99;48.99;48.99;48.99;48.99;48.99;48.99;48.99;0.00;0.00;0.00;0.00;0.00
"08118063";99.69;99.69;86.57;85.91;85.61;85.58;72.89;72.89;65.62;0.00;99.16;99.16;56.98;56.31;55.97;54.97;27.62;27.62;65.62;65.62;65.62;65.62;65.62;65.62;65.62;65.62;65.62;0.00;0.00;0.00;0.00;0.00
"08118067";99.81;99.81;98.51;96.73;95.16;93.00;66.84;66.84;65.04;0.00;99.81;99.81;98.51;95.61;91.55;80.56;14.19;14.19;65.04;65.04;65.04;65.04;65.04;65.04;65.04;65.04;65.04;0.00;0.00;0.00;0.00;0.00
"08118068";99.99;99.99;99.99;90.45;75.50;61.45;42.91;42.91;0.00;0.00;99.99;99.99;99.99;90.45;75.50;61.45;42.91;42.91;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"08118070";98.74;93.69;68.42;68.25;67.76;67.45;53.44;53.44;45.56;0.00;98.73;93.69;68.08;67.90;67.28;66.93;43.50;43.50;45.56;45.56;45.56;45.56;45.56;45.56;45.56;45.56;45.56;0.00;0.00;0.00;0.00;0.00
"08118071";99.99;99.99;99.99;96.67;94.83;93.89;78.18;78.18;75.42;0.00;99.97;99.97;99.97;94.33;90.77;87.41;7.06;7.06;75.42;75.42;75.42;75.42;75.42;75.42;75.42;75.42;75.42;0.00;0.00;0.00;0.00;0.00
