"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_8";"verf_100_10";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_8";"verf_dsl_10";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_8";"verf_catv_10";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000"
"09461";100.00;100.00;99.98;99.98;99.93;99.79;96.75;95.52;87.11;83.28;75.20;75.20;100.00;100.00;99.39;99.39;98.71;97.99;75.24;74.49;57.47;43.38;50.78;50.78;50.78;50.78;50.78;50.78;50.78;50.78;50.78;50.78;50.78;50.78;49.03;48.32;46.56;46.49
"09462";100.00;100.00;100.00;100.00;100.00;100.00;99.27;98.85;97.12;89.84;83.25;83.25;100.00;100.00;100.00;100.00;100.00;100.00;93.44;92.75;78.40;64.05;71.25;71.25;71.25;71.25;71.25;71.25;71.25;71.25;71.25;71.25;71.25;71.25;28.91;28.91;28.91;28.91
"09463";100.00;100.00;100.00;100.00;100.00;100.00;99.09;98.97;96.42;89.79;76.12;76.12;100.00;100.00;100.00;99.37;99.21;97.83;91.02;89.64;80.80;69.75;67.07;67.07;67.07;67.07;67.07;67.07;67.07;67.07;67.07;67.07;67.07;67.07;29.88;26.58;26.58;26.58
"09464";100.00;100.00;100.00;99.84;99.83;99.82;97.80;97.80;95.37;94.64;89.43;89.43;100.00;100.00;100.00;99.41;98.52;92.85;87.15;87.00;82.85;70.34;75.78;75.78;75.78;75.78;75.78;75.78;75.78;75.78;75.78;75.78;75.78;75.78;19.58;19.58;19.58;19.58
"09471";99.90;99.80;99.80;99.71;99.70;99.69;96.77;95.75;89.11;61.68;41.79;41.79;99.80;99.80;99.80;99.71;99.54;99.32;94.72;94.09;83.16;46.96;15.57;15.57;15.57;15.57;15.57;15.57;15.57;15.57;15.57;15.33;15.33;15.33;29.63;28.72;28.68;28.68
"09472";100.00;100.00;99.55;99.43;99.43;99.39;97.79;97.62;90.58;64.66;44.49;43.76;99.70;99.70;99.00;98.87;98.75;98.29;95.52;94.23;84.88;53.51;40.18;40.18;40.18;40.18;40.18;40.18;40.18;40.18;40.18;32.36;30.99;30.13;17.28;16.90;16.90;16.90
"09473";100.00;99.95;99.90;98.85;98.85;98.39;97.52;97.33;84.89;64.58;50.82;50.82;99.86;99.23;96.08;94.63;94.63;94.01;88.27;87.34;65.91;40.87;52.77;52.77;52.77;52.77;52.77;52.77;52.77;52.77;52.77;35.31;35.31;35.31;25.60;21.48;21.48;21.48
"09474";100.00;100.00;100.00;100.00;99.98;99.90;98.68;97.66;90.59;67.48;49.01;34.60;100.00;99.87;99.78;99.78;99.72;99.58;97.45;95.85;84.52;48.19;37.96;37.96;37.96;37.96;37.96;37.96;37.96;37.96;37.96;37.76;37.76;19.40;22.35;22.06;22.06;21.80
"09475";99.83;99.83;99.83;99.82;99.78;99.65;96.10;88.16;77.34;62.69;54.98;54.96;97.47;95.95;95.76;95.46;95.16;94.42;86.99;72.66;61.77;43.51;39.25;39.25;39.25;39.25;39.25;39.25;39.25;39.25;39.25;39.23;38.75;38.73;27.30;19.22;19.22;19.22
"09476";99.82;99.82;99.81;99.81;99.81;99.81;99.15;95.16;85.72;67.94;47.63;30.66;99.47;98.94;98.25;97.32;97.25;96.82;92.81;83.51;75.60;47.10;52.42;52.42;52.42;52.42;52.42;52.42;52.42;52.42;52.42;46.32;38.42;20.37;21.60;18.62;11.78;11.73
"09477";99.77;99.77;99.77;99.77;99.77;99.77;99.52;99.41;97.46;83.32;61.36;57.38;99.77;99.77;99.77;99.77;99.77;99.77;98.90;98.72;91.05;68.27;59.79;59.79;59.79;59.79;59.79;59.79;59.79;59.79;59.79;58.51;41.91;36.51;25.66;25.03;25.03;25.03
"09478";100.00;100.00;100.00;99.98;99.98;99.98;99.79;99.67;94.86;75.36;62.52;47.95;99.15;99.15;97.84;97.34;97.25;96.75;95.91;95.79;87.40;55.20;56.30;56.30;56.30;56.30;56.30;56.30;56.30;56.30;56.30;56.22;56.15;36.57;21.34;20.04;20.04;19.89
"09479";100.00;100.00;99.93;98.28;98.28;98.23;97.15;94.78;90.17;72.34;54.60;38.89;100.00;100.00;99.59;97.51;97.46;96.76;94.66;92.69;84.08;54.52;57.00;57.00;57.00;57.00;57.00;57.00;57.00;57.00;57.00;56.91;48.12;31.03;9.94;9.43;9.01;9.01
"09561";100.00;100.00;100.00;100.00;100.00;100.00;99.84;99.60;97.19;95.62;81.56;81.56;100.00;100.00;100.00;100.00;100.00;100.00;98.70;98.46;94.81;85.90;73.70;73.70;73.70;73.70;73.70;73.70;73.70;73.70;73.70;73.70;73.70;73.70;11.14;11.14;11.14;11.14
"09562";100.00;100.00;100.00;99.98;99.98;99.91;98.04;97.76;91.37;85.23;73.48;73.48;100.00;100.00;99.91;99.91;99.91;99.91;94.46;94.27;86.05;66.37;70.47;70.47;70.47;70.47;70.47;70.47;70.47;70.47;70.47;70.47;70.47;70.47;13.80;13.17;13.17;11.32
"09563";100.00;100.00;100.00;99.96;99.96;99.96;99.45;99.16;95.39;87.85;51.37;50.31;100.00;100.00;100.00;99.96;99.96;99.96;95.73;95.44;91.61;80.53;41.73;41.73;41.73;41.73;41.73;41.73;41.73;41.73;41.73;41.73;41.73;41.73;21.11;18.71;14.91;13.84
"09564";100.00;100.00;99.81;99.75;99.75;99.69;97.12;96.96;96.08;90.75;70.37;70.37;100.00;100.00;99.72;99.69;99.69;99.63;96.14;95.73;94.09;84.55;61.54;61.54;61.54;61.54;61.54;61.54;61.54;61.54;61.54;61.54;61.54;61.54;19.80;19.49;19.49;19.49
"09565";99.78;99.78;99.78;99.78;99.78;99.78;99.24;99.02;95.37;86.02;33.50;33.50;99.78;99.78;99.78;99.78;99.78;99.78;98.55;98.33;93.54;79.83;34.32;34.32;34.32;34.32;34.32;34.32;34.32;34.32;34.32;31.72;31.72;31.72;3.73;3.73;3.73;3.73
"09571";99.22;99.22;99.15;99.14;99.14;99.09;94.30;93.76;86.29;63.74;51.52;43.35;98.57;98.53;98.25;97.89;97.69;96.43;89.64;87.99;79.84;49.50;44.04;44.04;44.04;44.04;44.04;44.04;44.04;44.04;44.04;43.84;42.07;33.71;12.90;11.20;11.20;11.20
"09572";100.00;100.00;100.00;100.00;99.99;99.94;97.32;96.55;87.99;64.66;33.46;29.55;100.00;100.00;100.00;100.00;99.75;99.11;93.27;92.21;82.02;51.88;30.86;30.86;30.86;30.86;30.86;30.86;30.86;30.86;30.86;30.86;22.29;18.38;11.93;11.93;11.93;11.93
"09573";100.00;100.00;100.00;100.00;100.00;100.00;99.27;99.22;96.46;82.00;42.93;42.33;100.00;100.00;100.00;100.00;100.00;100.00;97.96;97.82;94.00;74.20;31.53;31.53;31.53;31.53;31.53;31.53;31.53;31.53;31.53;31.47;31.47;31.47;15.11;15.11;14.99;13.83
"09574";99.90;99.90;99.81;99.81;99.79;99.73;96.73;95.28;86.61;69.37;40.85;34.08;99.78;99.78;99.63;99.58;99.41;99.36;88.61;87.11;81.40;52.45;35.52;35.52;35.52;35.52;35.52;35.52;35.52;35.52;35.52;35.40;23.39;16.22;19.64;19.28;18.82;18.82
"09575";100.00;100.00;100.00;99.96;99.96;99.76;99.50;99.23;95.09;75.75;54.58;54.58;99.61;99.30;99.28;98.97;98.37;94.09;88.56;86.79;79.90;50.01;47.61;47.61;47.61;47.61;47.61;47.61;47.61;47.61;47.61;47.58;42.07;42.07;21.41;16.08;14.02;14.02
"09576";99.85;99.85;99.84;99.81;99.61;99.32;96.68;95.62;87.40;66.55;43.73;42.70;99.71;99.71;99.56;99.49;98.86;97.75;86.16;84.75;72.92;46.88;27.48;27.48;27.48;27.48;27.48;27.48;27.48;27.48;27.48;27.17;18.63;16.22;31.62;30.96;30.96;30.96
"09577";100.00;99.86;99.86;99.67;99.65;99.58;94.93;94.23;90.46;65.61;49.01;38.23;99.98;99.74;99.65;99.28;99.14;98.21;90.77;89.50;83.66;50.02;59.97;59.97;59.97;59.97;59.97;59.97;59.97;59.97;59.97;48.35;41.07;30.13;10.88;10.13;10.13;10.13
"09661";100.00;100.00;100.00;100.00;100.00;100.00;98.57;98.57;96.10;85.68;65.10;65.10;100.00;100.00;100.00;100.00;100.00;100.00;98.57;98.57;95.94;82.65;47.43;47.43;47.43;47.43;47.43;47.43;47.43;47.43;47.43;46.85;46.85;46.85;55.59;55.59;55.59;55.59
"09662";100.00;100.00;100.00;100.00;100.00;100.00;99.93;99.93;97.05;91.18;84.29;70.26;100.00;100.00;100.00;100.00;100.00;100.00;99.92;99.92;96.72;83.58;51.04;51.04;51.04;51.04;51.04;51.04;51.04;51.04;51.04;51.04;51.04;32.77;46.12;46.12;46.12;46.12
"09663";99.93;99.93;99.93;99.93;99.93;99.93;99.32;98.96;95.11;89.02;60.17;51.62;99.93;99.93;99.93;99.93;99.93;99.93;99.06;93.85;67.78;55.06;60.02;60.02;60.02;60.02;60.02;60.02;60.02;60.02;60.02;59.96;38.71;28.93;29.18;29.06;29.06;29.06
"09671";100.00;100.00;100.00;100.00;100.00;99.98;99.60;99.37;95.09;73.31;45.44;43.74;100.00;99.99;99.99;99.99;99.99;99.98;99.15;98.92;92.12;62.73;19.21;19.21;19.21;19.21;19.21;19.21;19.21;19.21;19.21;17.86;17.86;15.91;29.14;29.01;29.01;29.01
"09672";99.56;99.56;99.56;99.13;99.13;99.00;96.08;95.68;91.28;63.64;55.07;50.72;98.18;97.88;97.88;96.75;96.72;96.01;90.06;87.56;79.88;35.91;49.62;49.62;49.62;49.62;49.62;49.62;49.62;49.62;49.62;49.62;47.57;43.20;12.35;10.11;10.11;10.11
"09673";99.86;99.86;99.86;99.61;99.61;98.82;98.81;98.52;92.86;61.27;51.32;50.89;99.86;99.86;99.86;99.61;99.61;98.81;98.22;96.38;85.18;44.33;34.98;34.98;34.98;34.98;34.98;34.98;34.98;34.98;34.98;34.95;34.95;34.45;20.23;19.43;19.43;19.43
"09674";99.90;99.90;99.89;99.89;99.89;99.89;98.12;95.59;86.10;70.10;51.64;38.67;99.84;99.84;99.71;99.71;99.71;99.61;97.31;94.32;82.16;60.56;34.46;34.46;34.46;34.46;34.46;34.46;34.46;34.46;34.46;34.46;34.46;19.05;26.60;25.45;25.45;25.45
"09675";99.92;99.92;99.92;99.30;99.30;99.30;98.65;98.34;91.61;62.40;37.61;23.44;99.55;99.55;99.55;98.93;98.93;98.91;97.67;97.29;87.87;51.24;25.01;25.01;25.01;25.01;25.01;25.01;25.01;25.01;25.01;24.69;24.69;9.82;14.53;14.37;14.37;14.37
"09676";99.93;99.90;99.79;99.79;99.79;99.78;99.62;98.93;93.63;84.84;55.41;49.59;99.89;99.86;94.64;94.12;93.79;92.32;86.63;86.02;79.84;64.32;54.59;54.59;54.59;54.59;54.59;54.59;54.59;54.23;54.23;54.02;42.39;34.88;20.05;17.32;17.32;17.32
"09677";99.79;99.79;99.79;99.79;99.75;99.60;98.17;97.28;87.45;56.91;38.20;37.84;99.65;99.59;99.49;99.49;99.45;99.28;97.10;96.27;84.27;41.84;36.59;36.59;36.59;36.59;36.59;36.59;36.59;36.59;36.59;36.53;33.27;32.90;7.04;6.29;6.29;6.29
"09678";99.60;99.60;99.56;99.56;99.56;99.56;99.07;98.80;95.25;78.85;64.65;49.22;99.60;99.59;99.01;99.01;99.01;98.95;97.20;96.83;91.79;62.36;42.87;42.87;42.87;42.87;42.87;42.87;42.87;42.87;42.87;42.78;42.65;23.36;32.38;30.32;30.32;30.32
"09679";99.83;99.70;99.62;99.62;99.62;99.61;96.25;94.82;89.36;62.79;36.23;30.29;99.76;99.63;99.47;99.47;99.47;99.46;94.22;91.59;84.14;50.59;33.82;33.82;33.82;33.82;33.82;33.82;33.82;33.82;33.82;33.82;26.55;20.42;15.18;10.52;10.52;10.52
