AGS;alle Technologien ≥ 1 Mbit/s;alle Technologien ≥ 2 Mbit/s;alle Technologien ≥ 6 Mbit/s;alle Technologien ≥ 16 Mbit/s;alle Technologien ≥ 30 Mbit/s;alle Technologien ≥ 50 Mbit/s;alle Technologien ≥ 100 Mbit/s;alle Technologien ≥ 200 Mbit/s;alle Technologien ≥ 400 Mbit/s;alle Technologien ≥ 1000 Mbit/s;leitungsg. Technologien ≥ 1 Mbit/s;leitungsg. Technologien ≥ 2 Mbit/s;leitungsg. Technologien ≥ 6 Mbit/s;leitungsg. Technologien ≥ 16 Mbit/s;leitungsg. Technologien ≥ 30 Mbit/s;leitungsg. Technologien ≥ 50 Mbit/s;leitungsg. Technologien ≥ 100 Mbit/s;leitungsg. Technologien ≥ 200 Mbit/s;leitungsg. Technologien ≥ 400 Mbit/s;leitungsg. Technologien ≥ 1000 Mbit/s;mobile Technologien ≥ 1 Mbit/s;mobile Technologien ≥ 2 Mbit/s;mobile Technologien ≥ 6 Mbit/s;DSL ≥ 1 Mbit/s;DSL ≥ 2 Mbit/s;DSL ≥ 6 Mbit/s;DSL ≥ 16 Mbit/s;DSL ≥ 30 Mbit/s;DSL ≥ 50 Mbit/s;DSL ≥ 100 Mbit/s;DSL ≥ 200 Mbit/s;CATV ≥ 1 Mbit/s;CATV ≥ 2 Mbit/s;CATV ≥ 6 Mbit/s;CATV ≥ 16 Mbit/s;CATV ≥ 30 Mbit/s;CATV ≥ 50 Mbit/s;CATV ≥ 100 Mbit/s;CATV ≥ 200 Mbit/s;CATV ≥ 400 Mbit/s;CATV ≥ 1000 Mbit/s;FTTH/B ≥ 100 Mbit/s;FTTH/B ≥ 200 Mbit/s;FTTH/B ≥ 400 Mbit/s;FTTH/B ≥ 1000 Mbit/s
07140044;100.00;100.00;100.00;98.31;98.31;88.18;0.00;0.00;0.00;0.00;100.00;100.00;98.31;98.31;98.31;88.18;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;100.00;97.70;97.70;97.70;88.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07140045;100.00;100.00;100.00;75.00;75.00;75.00;4.87;4.87;4.87;4.87;99.72;99.72;84.00;75.00;75.00;75.00;4.87;4.87;4.87;4.87;100.00;100.00;100.00;99.00;99.00;84.00;75.00;75.00;75.00;0.49;0.49;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.87;4.87;4.87;4.87
07140046;100.00;100.00;100.00;66.00;66.00;66.00;1.23;1.23;1.23;1.23;99.99;99.99;84.00;66.00;66.00;66.00;1.23;1.23;1.23;1.23;100.00;100.00;100.00;99.99;99.99;84.00;66.00;66.00;66.00;1.23;1.23;1.23;1.23;1.23;1.23;1.23;1.23;1.23;1.23;1.23;1.23;1.23;1.23;1.23;1.23
07140047;100.00;100.00;100.00;65.00;65.00;65.00;9.41;9.41;9.41;9.41;99.99;99.99;99.99;65.00;65.00;65.00;9.41;9.41;9.41;9.41;100.00;100.00;100.00;99.99;99.99;99.99;65.00;65.00;65.00;1.23;1.23;1.23;1.23;1.23;1.23;1.23;1.23;1.23;1.23;1.23;1.23;9.41;9.41;9.41;9.41
07140048;100.00;100.00;100.00;62.00;62.00;62.00;0.00;0.00;0.00;0.00;100.00;100.00;62.00;62.00;62.00;62.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;100.00;62.00;62.00;62.00;62.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07140049;100.00;100.00;100.00;99.24;99.24;99.24;97.46;97.46;97.17;0.44;99.43;99.43;99.24;99.24;99.24;99.24;97.46;97.46;97.17;0.44;100.00;100.00;100.00;98.43;98.43;76.00;76.00;76.00;76.00;0.00;0.00;97.46;97.46;97.46;97.46;97.46;97.46;97.46;97.46;97.17;0.44;0.00;0.00;0.00;0.00
07140050;100.00;100.00;100.00;56.00;56.00;56.00;0.00;0.00;0.00;0.00;99.99;99.99;56.00;56.00;56.00;56.00;0.00;0.00;0.00;0.00;100.00;100.00;91.01;99.99;99.99;56.00;56.00;56.00;56.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07140053;100.00;100.00;100.00;63.00;63.00;63.00;31.58;31.58;31.58;31.58;96.17;96.06;63.00;63.00;63.00;63.00;31.58;31.58;31.58;31.58;100.00;100.00;98.67;89.00;89.00;63.00;63.00;63.00;63.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;31.58;31.58;31.58;31.58
07140055;100.00;100.00;100.00;70.00;70.00;70.00;0.00;0.00;0.00;0.00;100.00;100.00;98.00;70.00;70.00;70.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;100.00;98.00;70.00;70.00;70.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07140056;100.00;100.00;100.00;84.94;84.94;84.94;84.01;83.88;58.13;50.70;100.00;99.60;84.94;84.94;84.94;84.94;84.01;83.88;58.13;50.70;100.00;100.00;100.00;100.00;99.59;69.84;69.84;69.84;69.84;45.14;44.82;83.41;83.41;83.41;83.41;83.41;83.41;83.41;83.39;56.81;0.65;11.02;11.02;11.02;11.02
07140058;94.75;94.75;80.00;58.00;58.00;58.00;0.00;0.00;0.00;0.00;58.00;58.00;58.00;58.00;58.00;58.00;0.00;0.00;0.00;0.00;88.24;88.24;55.29;58.00;58.00;58.00;58.00;58.00;58.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07140060;100.00;100.00;100.00;65.00;65.00;65.00;0.00;0.00;0.00;0.00;79.00;79.00;65.00;65.00;65.00;65.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;79.00;79.00;65.00;65.00;65.00;65.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07140062;100.00;100.00;100.00;83.00;83.00;83.00;0.60;0.53;0.00;0.00;83.00;83.00;83.00;83.00;83.00;83.00;0.60;0.53;0.00;0.00;100.00;100.00;100.00;83.00;83.00;83.00;83.00;83.00;83.00;0.00;0.00;0.60;0.60;0.60;0.60;0.60;0.60;0.60;0.53;0.00;0.00;0.00;0.00;0.00;0.00
07140063;100.00;100.00;100.00;98.00;98.00;97.04;96.11;71.95;0.39;0.39;99.06;98.00;98.00;98.00;98.00;97.04;96.11;71.95;0.39;0.39;100.00;100.00;100.00;99.06;98.00;98.00;98.00;98.00;97.04;96.11;71.95;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39;0.39
07140064;100.00;100.00;100.00;99.50;98.26;98.26;97.37;96.85;96.83;45.60;100.00;100.00;100.00;99.50;98.26;98.26;97.37;96.85;96.83;45.60;100.00;100.00;100.00;99.99;99.99;99.48;96.00;87.57;87.57;66.21;56.02;80.49;80.49;80.49;80.49;80.49;80.49;80.49;80.49;80.49;0.30;3.34;3.34;3.34;3.34
07140065;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;72.19;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;72.19;100.00;100.00;100.00;99.40;99.40;97.62;87.47;87.47;87.47;69.31;69.31;98.43;98.43;98.43;98.43;98.43;98.43;98.43;98.43;98.43;1.05;0.00;0.00;0.00;0.00
07140067;100.00;100.00;100.00;97.02;96.71;96.71;95.81;95.63;76.32;41.01;100.00;100.00;99.80;97.02;96.71;96.71;95.81;95.63;76.32;41.01;100.00;100.00;100.00;100.00;100.00;99.55;85.77;83.17;82.77;65.46;52.76;95.00;95.00;95.00;95.00;95.00;95.00;91.54;91.38;73.18;0.62;11.85;11.85;11.85;11.85
07140068;100.00;100.00;100.00;65.00;29.38;28.98;19.07;13.37;13.37;13.37;99.59;99.59;99.59;65.00;29.38;28.98;19.07;13.37;13.37;13.37;100.00;100.00;93.47;99.59;99.59;99.59;65.00;27.72;27.32;10.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.37;13.37;13.37;13.37
07140070;100.00;100.00;83.00;59.00;59.00;59.00;0.88;0.88;0.88;0.88;59.00;59.00;59.00;59.00;59.00;59.00;0.88;0.88;0.88;0.88;100.00;100.00;66.67;59.00;59.00;59.00;59.00;59.00;59.00;0.88;0.88;0.88;0.88;0.88;0.88;0.88;0.88;0.88;0.88;0.88;0.88;0.88;0.88;0.88;0.88
07140071;100.00;100.00;100.00;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91;90.91;100.00;100.00;100.00;57.00;57.00;57.00;57.00;57.00;57.00;3.64;3.64;3.64;3.64;3.64;3.64;3.64;3.64;3.64;3.64;3.64;3.64;90.91;90.91;90.91;90.91
07140073;100.00;100.00;100.00;54.00;54.00;54.00;2.27;2.27;2.27;2.27;60.00;56.00;54.00;54.00;54.00;54.00;2.27;2.27;2.27;2.27;100.00;100.00;97.73;60.00;56.00;54.00;54.00;54.00;54.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.27;2.27;2.27;2.27
07140075;100.00;100.00;100.00;78.00;77.00;76.00;0.61;0.61;0.61;0.61;78.00;78.00;78.00;78.00;77.00;76.00;0.61;0.61;0.61;0.61;100.00;100.00;100.00;78.00;78.00;78.00;78.00;77.00;76.00;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.61;0.61
07140076;100.00;100.00;100.00;97.58;97.58;97.58;97.12;96.18;96.18;73.14;100.00;100.00;100.00;97.58;97.58;97.58;97.12;96.18;96.18;73.14;100.00;100.00;100.00;99.61;97.90;89.00;89.00;89.00;89.00;79.39;0.00;89.46;89.46;89.46;89.46;89.46;89.46;89.46;89.46;89.46;0.90;73.14;73.14;73.14;73.14
07140077;100.00;100.00;100.00;98.92;98.92;98.92;98.92;98.92;98.92;1.05;100.00;100.00;98.92;98.92;98.92;98.92;98.92;98.92;98.92;1.05;100.00;100.00;100.00;100.00;100.00;97.25;86.72;86.72;86.72;72.30;0.53;98.92;98.92;98.92;98.92;98.92;98.92;98.92;98.92;98.92;1.05;0.53;0.53;0.53;0.53
07140079;100.00;100.00;100.00;65.00;65.00;65.00;15.91;15.91;15.91;15.91;74.00;65.00;65.00;65.00;65.00;65.00;15.91;15.91;15.91;15.91;100.00;100.00;91.86;74.00;65.00;65.00;65.00;65.00;65.00;0.00;0.00;1.36;1.36;1.36;1.36;1.36;1.36;1.36;1.36;1.36;0.00;15.91;15.91;15.91;15.91
07140080;100.00;100.00;100.00;50.00;50.00;50.00;4.34;4.34;4.34;4.34;98.34;89.29;50.00;50.00;50.00;50.00;4.34;4.34;4.34;4.34;100.00;100.00;100.00;98.34;89.00;50.00;50.00;50.00;50.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.34;4.34;4.34;4.34
07140081;100.00;100.00;97.69;80.00;80.00;80.00;0.79;0.79;0.79;0.79;80.00;80.00;80.00;80.00;80.00;80.00;0.79;0.79;0.79;0.79;100.00;100.00;95.50;80.00;80.00;80.00;80.00;80.00;80.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.79;0.79;0.79;0.79
07140082;100.00;100.00;100.00;98.39;98.39;63.60;0.47;0.47;0.47;0.47;100.00;100.00;100.00;98.39;98.39;63.60;0.47;0.47;0.47;0.47;100.00;100.00;100.00;100.00;100.00;100.00;77.53;77.45;44.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.47;0.47;0.47;0.47
07140084;100.00;100.00;100.00;76.00;76.00;76.00;3.88;3.88;3.88;3.88;93.00;91.00;77.00;76.00;76.00;76.00;3.88;3.88;3.88;3.88;100.00;100.00;100.00;93.00;91.00;77.00;76.00;76.00;76.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.88;3.88;3.88;3.88
07140085;100.00;100.00;100.00;99.80;99.80;99.80;99.80;99.80;71.42;49.22;99.80;99.80;99.80;99.80;99.80;99.80;99.80;99.80;71.42;49.22;100.00;100.00;100.00;82.11;81.85;81.85;81.85;81.00;81.00;53.39;47.71;98.39;98.39;98.39;98.39;98.39;98.39;98.39;98.39;70.70;1.00;13.65;13.65;13.65;13.65
07140086;100.00;100.00;63.00;62.00;62.00;62.00;0.00;0.00;0.00;0.00;62.00;62.00;62.00;62.00;62.00;62.00;0.00;0.00;0.00;0.00;100.00;100.00;37.00;62.00;62.00;62.00;62.00;62.00;62.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07140087;100.00;100.00;100.00;67.00;67.00;67.00;0.00;0.00;0.00;0.00;99.99;99.99;67.00;67.00;67.00;67.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;99.99;99.99;67.00;67.00;67.00;67.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07140089;100.00;100.00;100.00;49.00;49.00;49.00;0.00;0.00;0.00;0.00;98.20;98.20;49.00;49.00;49.00;49.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;98.20;98.20;49.00;49.00;49.00;49.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07140090;100.00;100.00;100.00;61.00;61.00;61.00;0.00;0.00;0.00;0.00;100.00;100.00;69.00;61.00;61.00;61.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;100.00;100.00;69.00;61.00;61.00;61.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
07140092;99.00;98.58;98.15;70.00;70.00;70.00;0.62;0.62;0.62;0.62;94.24;93.58;71.00;70.00;70.00;70.00;0.62;0.62;0.62;0.62;98.42;97.47;21.52;94.24;93.56;71.00;70.00;70.00;70.00;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62;0.62
