"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_1000"
"05966";99.03;97.78;95.08;92.36;87.89;82.22;63.01;48.32;36.80;9.70;98.94;97.70;94.40;91.49;86.56;80.68;58.03;36.46;27.44;27.44;27.44;27.44;27.44;27.44;27.44;27.44;27.44;0.00;9.70
"03360";99.04;97.11;90.77;81.18;73.78;71.32;63.50;51.58;45.65;0.00;98.88;97.09;89.04;78.67;69.46;66.11;56.32;38.03;45.65;45.65;45.65;45.65;45.65;45.65;45.65;45.65;45.65;0.00;0.00
"09475";99.05;99.05;98.48;93.84;91.41;78.92;62.47;53.58;48.92;48.92;96.33;95.17;93.24;83.51;81.54;64.07;51.61;31.63;37.10;37.10;37.10;37.10;37.10;37.10;37.10;37.10;36.19;36.19;14.69
"05374";99.05;97.96;93.27;89.64;87.52;84.32;68.15;51.50;31.38;13.29;98.66;97.87;93.06;88.83;86.88;83.33;64.98;41.59;18.80;18.80;18.80;18.80;18.80;18.80;18.80;18.80;18.80;0.00;13.29
"09780";99.06;98.79;96.85;95.56;94.64;93.90;78.21;66.88;64.43;61.99;98.70;98.60;94.24;81.26;79.11;77.18;60.16;35.58;59.86;59.86;59.86;59.86;59.86;59.86;59.86;58.60;58.60;56.15;10.69
"03158";99.08;99.08;98.14;97.28;78.23;78.19;55.53;48.66;14.73;14.62;98.37;98.37;96.86;87.18;41.88;41.31;12.74;3.26;48.66;48.66;48.66;48.66;48.66;48.66;48.66;48.66;14.04;13.94;1.02
"01055";99.08;99.08;98.34;96.84;96.17;94.81;82.99;67.44;60.01;56.27;98.68;98.68;97.36;95.93;93.43;91.36;71.14;43.42;59.80;59.80;59.80;59.80;59.80;59.80;59.80;59.80;59.80;56.06;0.73
"07331";99.08;98.52;97.09;91.88;73.51;70.35;45.16;30.14;9.69;0.86;96.63;95.84;91.84;82.36;59.84;58.11;31.46;13.30;26.43;26.43;26.43;26.43;26.43;26.43;26.43;26.43;9.50;0.67;0.19
"05770";99.09;98.83;95.96;89.51;85.54;82.76;66.18;55.00;41.27;16.45;96.82;96.49;92.02;85.09;82.60;80.25;62.51;38.83;41.21;41.21;41.21;41.21;41.21;41.21;41.21;41.21;41.21;16.33;0.12
"01059";99.10;99.10;96.74;89.39;87.11;84.12;72.60;51.92;39.19;38.52;98.60;98.60;91.73;81.89;77.79;73.28;58.09;28.57;29.67;29.67;29.67;29.67;29.67;29.67;29.67;29.67;27.74;27.07;11.99
"08235";99.11;98.48;95.04;88.59;86.45;82.70;71.71;62.88;45.99;0.98;97.61;96.75;91.74;82.28;79.27;72.17;57.65;43.47;45.30;45.30;45.30;45.30;45.30;45.30;45.30;45.30;45.30;0.00;0.98
"05566";99.12;98.00;95.23;88.41;85.04;81.39;64.42;54.46;45.07;25.70;97.93;97.06;88.84;76.05;71.29;64.05;42.06;23.61;29.48;29.48;29.48;29.48;29.48;29.48;29.48;29.48;29.48;4.03;23.16
"01060";99.13;98.89;96.55;94.92;94.14;93.72;52.30;46.03;15.54;2.95;92.88;89.49;63.83;45.48;40.36;38.33;25.69;15.34;38.44;38.44;38.44;38.44;38.44;38.44;38.44;38.44;15.21;2.59;0.36
"09672";99.13;98.99;98.83;96.08;94.67;93.82;78.67;53.73;48.97;48.97;95.98;95.19;94.12;90.54;86.53;84.42;66.60;25.83;46.33;46.33;46.33;46.33;46.33;46.33;46.33;46.33;44.28;44.28;7.43
"08215";99.13;98.45;96.44;92.68;88.65;86.71;74.07;59.72;48.24;3.64;97.45;96.57;89.93;82.52;78.72;73.73;54.21;26.28;45.00;45.00;45.00;45.00;45.00;45.00;45.00;45.00;45.00;0.00;3.64
"03358";99.15;98.51;96.77;82.15;79.65;73.99;56.26;49.15;43.18;2.39;97.37;96.79;89.54;70.12;63.52;52.63;26.13;14.09;41.14;41.14;41.14;41.14;41.14;41.14;41.14;41.14;41.14;0.00;2.39
"07336";99.15;98.06;94.68;78.43;72.47;71.03;58.14;48.03;31.88;16.96;96.42;95.12;88.05;59.59;56.49;55.84;42.02;18.27;39.43;39.43;39.43;39.43;39.43;39.43;39.43;39.43;31.88;16.96;0.00
"06534";99.16;99.16;98.13;95.98;91.91;88.51;77.11;57.08;38.85;5.00;97.09;96.88;95.73;94.64;90.81;86.12;71.24;42.64;36.42;36.42;36.42;36.42;36.42;36.42;36.42;36.42;36.42;2.43;2.67
"08437";99.17;98.76;97.07;84.01;81.46;74.23;52.76;41.84;35.89;5.68;98.02;97.03;92.83;75.41;71.16;64.88;34.51;18.22;31.13;31.13;31.13;31.13;31.13;31.13;31.13;31.13;31.13;0.00;5.68
"08126";99.18;99.05;95.19;87.37;77.08;70.37;54.36;47.20;43.65;1.76;98.58;98.40;91.38;67.69;64.00;53.38;36.48;20.73;42.03;42.03;42.03;42.03;42.03;42.03;42.03;42.03;42.03;0.00;1.76
"09472";99.18;98.51;97.91;95.79;94.38;93.43;79.27;56.06;33.91;33.91;98.01;98.01;96.92;91.27;87.79;85.55;70.15;42.24;39.16;39.16;39.16;39.16;39.16;39.16;39.16;28.46;23.53;23.53;13.05
"09276";99.19;99.09;97.40;93.85;92.01;88.41;77.87;56.20;52.14;52.14;98.88;97.59;94.26;90.11;88.57;87.04;76.20;45.34;44.87;44.87;44.87;44.87;44.87;44.87;44.87;44.87;44.87;44.87;7.74
"10043";99.20;99.01;96.01;92.33;83.81;78.80;71.31;67.40;63.75;56.61;93.76;92.75;82.07;71.01;69.74;67.47;61.20;46.69;60.12;60.12;60.12;60.12;60.12;60.12;60.12;60.12;60.12;52.98;8.80
"15002";99.20;98.25;94.32;85.57;74.46;73.30;61.27;51.10;32.00;25.72;94.04;92.64;87.86;70.82;70.31;69.16;58.54;47.46;12.89;12.89;12.89;12.89;12.89;12.89;12.89;12.89;12.33;0.00;25.72
"09177";99.22;99.22;98.39;95.39;92.14;89.71;78.52;60.12;24.68;19.08;98.54;98.54;93.78;92.08;91.05;88.34;74.04;47.82;34.77;34.77;34.77;34.77;34.77;34.77;34.77;32.59;17.40;11.80;7.29
"09677";99.22;99.22;98.99;97.23;95.14;92.26;74.65;47.93;30.82;29.02;97.95;97.86;96.65;92.09;90.99;86.74;65.71;26.74;35.60;35.60;35.60;35.60;35.60;35.60;35.60;35.60;27.93;26.12;3.59
"04011";99.24;97.77;91.50;81.71;70.42;68.99;59.88;56.01;52.39;52.39;98.06;97.00;87.16;68.36;66.14;60.73;45.65;34.19;51.08;51.08;51.08;51.08;51.08;51.08;51.08;51.08;51.08;51.08;7.52
"06633";99.24;97.90;87.85;82.75;76.47;70.97;53.59;40.60;29.07;1.49;96.22;91.40;82.84;73.33;71.10;67.71;49.45;28.51;28.75;28.75;28.75;28.75;28.75;28.75;28.75;28.75;28.75;1.10;0.39
"06636";99.24;98.13;93.24;79.60;70.25;65.93;43.55;35.11;25.54;0.07;96.19;94.76;86.31;68.01;66.36;61.65;37.99;23.11;25.54;25.54;25.54;25.54;25.54;25.54;25.54;25.54;25.54;0.00;0.07
"05558";99.25;99.06;96.87;95.02;92.39;89.89;66.20;49.90;34.40;3.03;98.43;96.81;91.50;88.18;84.52;77.42;55.41;31.28;33.01;33.01;33.01;33.01;33.01;33.01;33.01;33.01;33.01;1.34;1.69
"03251";99.25;99.03;96.75;90.55;86.16;81.49;69.87;63.95;58.35;48.24;98.61;98.47;93.95;85.69;80.77;70.79;40.47;23.74;29.63;29.63;29.63;29.63;29.63;29.63;29.63;29.63;27.46;17.24;37.26
"09277";99.26;98.83;98.44;95.19;93.13;88.45;74.93;59.00;31.91;30.30;99.01;98.55;95.91;89.69;87.28;82.74;66.12;37.59;51.61;51.61;51.61;51.61;51.61;51.61;51.61;51.61;27.93;26.28;5.76
"09373";99.26;99.21;98.71;95.21;91.27;87.74;55.95;37.57;27.13;5.55;94.88;94.34;89.60;74.88;70.77;66.07;53.42;31.35;21.80;21.80;21.80;21.80;21.80;21.80;21.80;21.80;21.80;0.00;5.55
"03457";99.26;99.25;97.25;95.51;91.46;84.91;59.78;48.98;41.38;14.34;97.26;97.12;92.26;84.81;74.09;61.26;34.92;16.22;32.25;32.25;32.25;32.25;32.25;32.25;32.25;31.53;29.81;0.65;13.77
"07316";99.26;99.22;96.52;95.29;88.23;81.75;62.34;57.24;21.83;20.58;94.50;89.13;79.40;76.78;69.99;69.52;53.04;31.67;53.76;53.76;53.76;53.76;53.76;53.76;53.76;53.76;18.15;16.90;4.22
"01061";99.27;98.98;97.55;95.74;91.34;91.06;64.84;43.45;28.15;1.97;97.07;97.07;92.41;81.88;77.18;74.82;61.48;32.17;28.06;28.06;28.06;28.06;28.06;28.06;28.06;28.06;28.06;1.88;0.15
"08136";99.28;97.81;94.53;92.73;83.69;81.30;64.06;53.50;45.12;9.46;96.71;94.44;86.41;81.71;69.04;64.66;49.24;30.01;38.98;38.98;38.98;38.98;38.98;38.98;38.98;38.98;38.98;0.15;9.45
"08317";99.29;99.17;98.85;96.70;94.46;91.44;75.93;57.37;40.44;7.18;98.67;98.14;97.20;95.06;93.35;89.70;70.35;45.18;38.56;38.56;38.56;38.56;38.56;38.56;38.56;38.56;38.56;0.00;7.18
"05512";99.30;98.71;97.42;94.86;90.76;88.29;72.30;64.79;59.37;39.77;99.04;96.94;91.01;88.78;84.96;80.50;55.87;37.65;43.99;43.99;43.99;43.99;43.99;43.99;43.99;43.99;43.99;19.20;27.61
"13003";99.32;99.32;98.97;97.47;95.69;93.55;73.32;58.59;31.76;6.08;98.97;98.97;98.80;96.08;95.41;93.20;71.34;50.18;31.43;31.43;31.43;31.43;31.43;31.43;31.43;31.43;31.43;4.64;1.46
"03356";99.32;99.32;98.83;97.03;95.08;88.93;62.23;48.65;34.13;26.37;97.18;97.18;95.59;93.32;86.69;75.45;46.98;23.98;35.03;35.03;35.03;35.03;35.03;35.03;35.03;35.03;25.81;18.04;9.48
"16051";99.32;99.30;96.14;92.36;91.71;88.97;70.98;59.94;44.70;43.71;97.48;96.74;90.15;86.26;85.37;82.61;57.29;36.92;43.64;43.64;43.64;43.64;43.64;43.64;43.64;43.64;43.64;42.65;1.39
"07337";99.33;97.37;78.69;65.07;61.42;59.42;35.18;23.42;16.25;7.70;97.84;90.94;68.94;49.65;47.31;45.73;29.78;13.60;22.33;22.33;22.33;22.33;22.33;22.33;22.33;22.33;16.25;7.70;0.01
"08125";99.33;99.27;98.62;97.60;93.77;89.20;76.46;61.58;42.35;6.27;98.82;98.66;97.17;94.07;89.49;83.17;67.24;42.98;37.59;37.59;37.59;37.59;37.59;37.59;37.59;37.59;37.59;0.00;6.27
"08335";99.33;99.06;96.95;94.36;91.55;87.62;73.16;58.17;51.73;20.95;97.79;96.71;92.14;82.38;80.46;75.34;56.32;18.96;34.02;34.02;34.02;34.02;34.02;34.02;34.02;34.02;34.02;0.00;20.95
"09772";99.34;99.09;96.91;92.31;90.36;84.07;60.47;53.00;35.44;35.44;96.92;96.13;88.60;81.43;79.48;73.36;53.00;42.04;27.30;27.30;27.30;27.30;27.30;27.30;27.30;27.30;27.30;27.30;8.76
"14612";99.34;98.62;95.21;91.24;85.62;85.16;76.61;69.88;60.17;59.88;95.64;94.33;88.66;84.82;81.96;80.78;68.34;50.17;58.00;58.00;58.00;58.00;58.00;58.00;58.00;58.00;58.00;57.63;11.91
"08426";99.35;99.01;90.59;87.56;83.04;78.24;60.29;50.95;41.73;6.34;95.54;93.96;82.96;77.52;72.56;67.60;44.51;27.43;37.47;37.47;37.47;37.47;37.47;37.47;37.47;37.47;37.47;0.00;6.34
"08135";99.35;99.33;99.10;98.51;91.11;85.45;66.27;58.89;40.29;1.86;95.24;94.94;93.00;90.26;78.62;71.89;54.47;40.40;38.68;38.68;38.68;38.68;38.68;38.68;38.68;38.68;38.68;0.00;1.86
"09771";99.36;99.18;98.50;93.32;89.85;87.24;68.94;57.87;36.12;29.67;98.68;97.97;93.61;83.35;80.63;78.55;57.17;40.29;33.97;33.97;33.97;33.97;33.97;33.97;33.97;33.97;27.09;20.39;10.13
"09183";99.36;99.26;98.94;97.45;95.80;91.47;78.35;51.14;29.04;10.36;97.76;97.65;96.92;94.06;92.19;88.38;73.73;38.28;33.83;33.83;33.83;33.83;33.83;33.83;33.83;33.83;19.93;0.00;10.36
"05554";99.37;99.06;98.57;94.05;91.24;89.91;68.11;55.17;34.90;18.86;97.57;97.41;94.75;79.79;77.03;73.99;59.21;39.31;18.34;18.34;18.34;18.34;18.34;18.34;18.34;18.34;18.34;1.67;17.74
"09275";99.39;99.37;99.17;96.80;94.86;91.16;77.05;48.97;26.51;26.51;97.26;97.07;94.23;87.19;85.52;81.71;66.35;32.42;21.16;21.16;21.16;21.16;21.16;21.16;21.16;21.16;12.67;12.67;14.82
"10044";99.39;98.78;97.53;95.54;91.03;84.65;68.56;60.46;51.44;47.31;95.17;93.02;86.90;78.36;76.45;73.02;57.82;42.15;51.44;51.44;51.44;51.44;51.44;51.44;51.44;51.44;51.44;47.31;0.02
"03153";99.40;99.40;98.83;95.48;93.19;90.56;72.29;58.08;30.06;30.06;99.40;99.40;98.39;95.18;92.66;89.60;68.20;46.15;34.87;34.87;34.87;34.87;34.87;34.87;34.87;34.87;29.49;29.49;0.62
"09376";99.40;99.36;96.89;88.33;81.26;74.79;57.66;37.02;21.52;11.91;98.70;98.59;92.75;79.32;71.19;69.11;54.05;26.59;16.55;16.55;16.55;16.55;16.55;16.55;16.55;16.55;11.26;1.65;10.26
"06440";99.40;99.12;97.34;95.82;94.78;92.33;79.41;60.72;38.88;8.62;98.53;98.53;94.67;93.23;91.67;89.24;76.59;50.19;37.91;37.91;37.91;37.91;37.91;37.91;37.91;37.91;37.91;7.25;1.57
"09576";99.40;99.17;98.31;93.06;89.57;85.93;65.11;47.34;13.64;10.93;97.96;97.68;92.79;78.31;76.64;72.74;57.33;35.51;25.92;25.92;25.92;25.92;25.92;25.92;25.92;25.92;6.37;3.45;7.61
"05766";99.41;98.55;92.28;81.66;79.03;75.01;61.85;50.46;42.18;19.91;98.87;97.43;89.71;75.97;71.48;66.53;51.17;27.66;42.17;42.17;42.17;42.17;42.17;42.17;42.17;42.17;42.17;19.81;0.11
"03154";99.41;98.74;97.08;92.29;85.84;82.77;66.30;52.49;2.15;2.15;99.41;98.74;96.37;87.55;83.84;80.41;65.00;47.94;37.13;37.13;37.13;37.13;37.13;37.13;37.13;37.13;1.63;1.63;0.52
"09189";99.43;99.42;98.77;97.12;95.55;93.06;82.02;64.84;57.80;50.17;97.56;97.33;95.39;87.95;85.41;82.03;65.04;34.80;51.95;51.95;51.95;51.95;51.95;51.95;51.95;51.95;51.95;44.22;8.14
"09178";99.43;98.91;95.99;94.52;92.47;91.57;83.11;68.68;53.22;53.22;98.67;98.11;94.22;84.30;83.51;82.38;72.70;50.83;45.68;45.68;45.68;45.68;45.68;45.68;45.68;45.68;45.68;45.68;16.58
"05758";99.43;98.59;97.52;94.21;90.43;88.54;79.68;66.98;42.63;25.36;98.21;98.04;95.95;90.96;89.53;87.12;75.08;55.62;42.55;42.55;42.55;42.55;42.55;42.55;42.55;42.55;42.55;25.28;0.08
"06533";99.48;99.48;99.33;97.84;93.11;91.19;79.13;59.93;29.52;0.97;99.41;99.41;99.26;97.77;92.69;90.49;76.85;54.32;28.97;28.97;28.97;28.97;28.97;28.97;28.97;28.97;28.97;0.00;0.97
"07137";99.51;99.45;97.90;92.62;91.25;87.66;60.42;41.90;29.93;6.02;99.30;99.15;96.20;88.44;86.02;81.76;54.01;30.86;28.62;28.62;28.62;28.62;28.62;28.62;28.62;28.62;28.62;4.31;1.81
"05774";99.51;99.51;99.13;96.28;91.21;86.93;74.81;54.39;38.38;20.16;99.08;99.05;97.61;91.22;88.48;83.59;68.16;41.36;28.60;28.60;28.60;28.60;28.60;28.60;28.60;28.60;28.60;9.37;11.02
"09187";99.52;99.41;98.70;97.09;95.67;91.77;82.03;68.26;56.54;51.79;95.43;95.07;91.64;85.52;84.03;79.22;67.70;37.89;54.94;54.94;54.94;54.94;54.94;54.94;54.94;54.94;47.18;42.43;11.83
"03352";99.52;99.48;98.34;97.46;92.69;86.52;70.60;65.40;52.93;50.12;98.72;97.83;95.10;93.45;85.97;76.59;49.99;35.17;36.40;36.40;36.40;36.40;36.40;36.40;36.40;36.40;36.40;33.23;26.12
"09271";99.52;99.25;98.54;97.93;94.46;85.62;73.00;57.94;54.65;54.65;98.95;98.52;96.81;88.93;76.84;76.00;69.25;43.34;38.78;38.78;38.78;38.78;38.78;38.78;38.78;38.78;38.78;38.78;19.33
"12052";99.52;99.23;98.20;96.94;95.09;94.24;87.00;78.15;71.51;24.77;98.48;98.39;93.29;90.46;89.18;87.88;76.11;54.09;68.93;68.93;68.93;68.93;68.93;68.93;68.93;68.93;68.93;15.66;10.97
"08216";99.53;98.93;96.83;93.75;88.59;85.11;72.16;54.57;30.99;2.93;98.77;98.57;95.46;89.30;85.51;80.96;67.58;42.54;28.98;28.98;28.98;28.98;28.98;28.98;28.98;28.98;28.98;0.00;2.93
"08231";99.53;97.98;95.13;90.22;89.41;89.25;84.18;68.31;65.70;2.91;93.25;89.95;80.39;78.44;77.66;77.41;72.00;33.12;64.77;64.77;64.77;64.77;64.77;64.77;64.77;64.77;64.77;0.00;2.91
"08327";99.54;99.49;98.64;92.86;90.68;89.32;82.94;75.04;69.77;3.07;94.34;94.08;90.00;73.24;72.00;66.12;51.26;23.31;67.28;67.28;67.28;67.28;67.28;67.28;67.28;67.28;67.28;0.00;3.07
"08336";99.54;99.43;97.68;91.54;89.16;86.96;78.61;75.06;71.18;40.27;98.48;98.11;92.56;79.36;75.38;71.69;55.41;39.06;47.61;47.61;47.61;47.61;47.61;47.61;47.61;47.61;47.61;0.00;40.27
"03156";99.55;99.55;99.55;97.22;95.58;92.23;80.06;59.06;41.87;41.87;99.55;99.55;99.10;96.77;92.83;88.33;69.91;36.00;45.01;45.01;45.01;45.01;45.01;45.01;45.01;43.62;41.87;41.87;0.00
"09180";99.56;99.36;99.35;98.29;97.82;95.55;92.44;80.13;67.03;49.98;99.36;99.36;99.15;97.34;96.73;93.32;85.36;60.71;52.56;52.56;52.56;52.56;52.56;52.56;52.56;52.56;52.56;29.89;20.08
"03157";99.57;98.97;98.49;96.53;86.24;84.43;62.98;50.93;43.72;43.72;98.85;98.85;97.69;94.40;85.02;82.21;51.35;30.23;44.08;44.08;44.08;44.08;44.08;44.08;44.08;44.08;42.00;42.00;2.02
"03361";99.58;96.92;91.27;88.63;85.00;69.49;59.18;56.09;50.86;36.79;97.33;93.50;80.03;68.89;59.93;51.15;32.27;20.77;39.41;39.41;39.41;39.41;39.41;39.41;39.41;39.41;39.41;25.34;12.79
"09676";99.59;99.56;99.41;98.18;98.04;97.07;89.19;82.21;49.82;31.70;99.53;99.50;90.78;86.18;83.68;81.84;71.70;57.79;54.56;54.56;54.56;54.56;54.56;54.24;54.24;54.24;39.93;21.64;10.30
"05754";99.59;99.34;95.89;90.70;87.04;81.77;66.26;51.51;31.64;9.99;98.53;97.96;93.63;86.96;84.43;78.71;60.95;39.24;28.68;28.68;28.68;28.68;28.68;28.68;28.68;28.68;28.68;6.65;3.41
"09673";99.59;99.59;99.58;98.06;96.66;93.68;81.34;55.75;48.34;48.34;99.58;99.58;99.58;97.79;95.24;89.74;69.85;31.89;36.67;36.67;36.67;36.67;36.67;36.67;36.67;36.67;36.67;36.59;13.58
"09679";99.59;99.11;98.80;96.74;94.60;90.99;79.74;54.86;30.51;16.89;98.00;97.35;96.72;94.72;92.52;86.18;72.62;37.85;33.74;33.74;33.74;33.74;33.74;33.74;33.74;33.74;23.51;9.33;7.74
"03241";99.59;99.45;98.94;98.37;94.36;92.89;82.48;74.89;56.24;46.17;99.17;99.00;97.81;97.06;91.90;89.69;75.30;59.62;56.78;56.78;56.78;56.78;56.78;56.78;56.78;56.76;54.03;43.90;5.59
"08117";99.62;99.39;98.65;97.35;96.66;96.01;84.68;68.18;58.20;1.03;97.02;96.42;92.54;89.56;87.77;84.85;74.64;43.20;58.20;58.20;58.20;58.20;58.20;58.20;58.20;58.20;58.20;0.00;1.03
"09375";99.62;99.58;98.62;97.69;93.21;91.14;79.30;53.39;43.25;23.00;99.06;98.76;96.44;94.68;84.37;78.85;65.43;31.34;34.41;34.41;34.41;34.41;34.41;34.41;34.41;34.41;32.74;9.97;13.45
"08436";99.62;99.53;96.39;88.60;84.35;80.11;63.46;57.97;50.14;4.31;99.48;98.96;92.11;77.91;73.62;65.84;45.94;32.97;47.31;47.31;47.31;47.31;47.31;47.31;47.31;47.31;47.31;0.00;4.31
"07111";99.63;99.30;88.41;68.11;62.34;59.65;50.28;42.29;27.78;16.69;99.42;99.09;71.51;64.06;61.87;59.03;48.18;37.58;27.78;27.78;27.78;27.78;27.78;27.78;27.78;27.78;27.78;9.41;13.26
"09572";99.63;99.63;99.22;95.19;89.24;85.37;73.41;50.96;25.18;13.99;99.46;99.46;98.06;86.92;81.19;74.40;57.63;29.49;29.85;29.85;29.85;29.85;29.85;29.85;29.85;29.85;21.30;9.89;4.30
"09777";99.63;99.61;98.91;96.40;95.02;92.89;81.59;68.58;57.57;53.54;99.39;99.36;98.05;94.59;90.29;86.30;69.64;48.22;42.86;42.86;42.86;42.86;42.86;42.86;42.86;42.86;42.86;38.83;15.57
"09573";99.63;99.63;99.51;99.51;97.82;96.70;89.23;68.96;40.61;40.61;99.40;99.40;99.10;98.96;97.21;95.73;86.47;58.47;31.48;31.48;31.48;31.48;31.48;31.48;31.48;31.48;31.48;31.48;11.43
"09478";99.64;99.64;99.58;99.06;97.24;92.92;81.53;67.33;61.90;25.08;97.30;97.01;94.31;93.28;91.86;87.19;71.67;45.54;59.10;59.10;59.10;59.10;59.10;59.10;59.10;59.10;59.03;6.45;20.61
"08435";99.64;98.72;93.57;89.81;87.20;84.70;76.85;66.33;51.95;2.28;97.52;96.75;90.30;86.86;83.88;77.16;65.60;44.10;51.66;51.66;51.66;51.66;51.66;51.66;51.66;51.66;51.66;0.00;2.28
"09671";99.64;99.64;98.55;98.04;96.96;95.79;84.59;56.14;28.38;26.72;99.03;99.03;97.82;97.04;95.75;93.96;79.95;46.48;16.63;16.63;16.63;16.63;16.63;16.63;16.63;16.63;16.63;14.83;11.97
"05154";99.64;99.43;97.70;93.58;89.75;84.51;64.40;46.34;20.63;4.85;98.63;98.60;95.78;91.42;88.13;83.72;62.21;39.78;15.88;15.88;15.88;15.88;15.88;15.88;15.88;15.88;15.88;0.00;4.85
"08226";99.65;99.33;98.66;95.19;90.68;85.91;71.13;53.11;43.33;6.37;98.77;98.56;97.73;91.88;87.28;78.54;58.82;31.00;38.65;38.65;38.65;38.65;38.65;38.65;38.65;38.65;38.65;0.06;6.31
"08325";99.65;99.50;99.36;98.92;98.42;96.63;82.06;57.74;51.21;0.37;99.30;99.13;99.01;98.46;98.00;95.05;73.65;25.59;50.99;50.99;50.99;50.99;50.99;50.99;50.99;50.99;50.99;0.00;0.37
"01057";99.65;99.64;99.06;93.86;92.88;91.18;77.71;50.90;26.39;22.09;99.47;99.34;95.95;92.45;91.56;89.65;74.58;41.63;30.10;30.10;30.10;30.10;30.10;30.10;30.10;30.10;20.26;15.96;6.59
"07339";99.65;99.64;99.57;95.47;88.76;87.96;60.69;44.22;18.21;16.92;99.13;99.05;98.73;88.98;75.75;74.54;57.47;32.75;31.33;31.33;31.33;31.33;31.33;31.33;31.33;31.33;17.93;16.64;1.32
"05978";99.65;98.77;98.48;97.19;92.65;90.54;75.38;62.00;39.67;15.86;95.99;95.92;92.61;87.14;85.87;83.08;62.90;41.88;35.77;35.77;35.77;35.77;35.77;35.77;35.77;35.77;35.77;10.59;6.47
"09476";99.65;99.65;99.58;96.14;93.04;88.36;72.87;52.53;37.93;7.76;98.30;98.30;96.75;92.76;89.49;80.23;66.00;36.65;44.59;44.59;44.59;44.59;44.59;44.59;44.59;35.39;30.96;0.00;7.76
"03359";99.65;99.12;97.12;94.97;92.48;88.03;73.56;68.69;56.75;34.60;98.57;98.57;95.32;90.14;86.27;79.55;61.57;48.93;53.00;53.00;53.00;53.00;53.00;53.00;53.00;53.00;53.00;30.34;12.67
"05378";99.66;99.66;99.65;99.17;99.03;98.90;71.76;58.40;43.00;4.15;99.50;99.50;99.39;99.17;98.98;98.84;62.97;39.95;43.39;43.39;43.39;43.39;43.39;43.39;43.39;43.39;42.37;3.53;0.64
"05382";99.67;99.62;99.32;97.65;95.82;95.77;63.92;52.89;35.29;15.92;98.56;98.56;97.84;95.11;94.57;94.50;58.24;44.11;28.00;28.00;28.00;28.00;28.00;28.00;28.00;28.00;28.00;8.61;7.60
"09764";99.68;99.68;99.67;99.50;96.95;94.95;88.42;73.95;62.63;62.63;99.68;99.68;99.58;99.50;96.79;93.88;81.46;58.31;58.91;58.91;58.91;58.91;58.91;58.91;58.91;58.91;58.91;58.91;9.08
"09175";99.70;99.58;98.31;98.03;97.24;92.74;78.51;67.30;36.67;30.32;95.90;93.80;90.64;87.66;87.39;85.72;77.28;60.55;29.45;29.45;29.45;29.45;29.45;29.45;29.45;29.45;29.40;22.92;8.04
"05914";99.70;99.57;95.00;88.78;85.70;84.30;77.52;64.51;58.87;27.67;99.20;98.65;90.44;81.78;79.29;76.39;65.03;36.73;58.74;58.74;58.74;58.74;58.74;58.74;58.74;58.74;58.74;27.55;0.18
"08326";99.70;99.68;98.52;95.53;94.35;92.57;80.57;70.38;64.26;14.86;98.72;98.31;93.05;86.45;83.70;79.40;58.88;32.52;53.93;53.93;53.93;53.93;53.93;53.93;53.93;53.93;53.93;0.00;14.86
"15001";99.70;98.68;97.07;90.95;82.55;81.40;69.03;57.97;13.40;0.35;98.98;97.82;91.70;84.98;80.48;75.72;58.75;32.81;45.40;45.40;45.40;45.40;45.40;45.40;45.40;45.40;13.04;0.00;0.35
"05562";99.70;99.60;99.05;97.17;92.88;89.80;70.28;58.24;41.48;11.41;99.09;99.01;97.07;92.03;89.73;86.03;61.41;40.93;37.64;37.64;37.64;37.64;37.64;37.64;37.64;37.64;37.64;6.15;6.02
"09775";99.70;99.40;98.30;95.21;89.39;87.99;67.80;58.66;52.11;52.06;96.82;96.64;85.25;59.20;56.07;53.03;39.50;25.02;45.87;45.87;45.87;45.87;45.87;45.87;45.87;45.87;45.87;45.82;8.53
"14713";99.71;99.52;97.66;95.29;91.93;90.82;82.87;70.38;50.00;49.39;98.28;97.93;92.61;88.71;87.80;86.42;72.04;56.30;44.30;44.30;44.30;44.30;44.30;44.30;44.30;44.30;44.30;43.69;8.70
"05362";99.71;99.63;99.16;98.50;98.40;98.38;41.33;38.25;29.57;17.08;99.33;99.24;97.93;97.83;97.81;97.80;21.46;18.28;22.61;22.61;22.61;22.61;22.61;22.61;22.61;22.61;21.09;6.92;10.38
"03103";99.71;99.70;99.36;93.63;88.71;88.22;81.07;50.56;49.93;42.38;95.21;95.04;92.91;57.77;52.20;50.10;44.09;9.31;20.61;20.61;20.61;20.61;20.61;20.61;20.61;20.61;20.61;6.82;40.57
"07138";99.71;99.65;99.49;98.67;97.89;95.58;72.70;43.06;25.14;9.62;98.80;98.62;98.10;97.02;96.07;92.64;70.27;34.62;22.02;22.02;22.02;22.02;22.02;22.02;22.02;22.02;21.69;6.18;3.44
