"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_1000"
"03454";97.60;96.58;93.39;86.16;79.92;72.90;57.66;50.75;44.31;32.06;96.00;94.85;88.77;78.25;67.09;56.75;36.14;23.51;25.34;25.34;25.34;25.34;25.34;25.34;25.34;23.90;20.10;1.91;30.67
"16061";97.67;97.66;97.32;95.56;90.81;82.41;56.79;40.15;4.40;3.58;96.89;96.28;94.82;92.42;87.97;81.77;55.06;33.33;18.05;18.05;18.05;18.05;18.05;18.05;18.05;18.05;0.82;0.00;3.58
"03405";97.70;96.43;92.33;89.48;85.36;75.99;60.78;50.85;42.28;15.36;97.33;96.07;90.71;87.34;78.98;69.48;53.56;37.59;42.28;42.28;42.28;42.28;42.28;42.28;42.28;42.28;42.28;14.72;2.05
"03256";97.71;96.81;92.79;80.75;77.33;74.92;54.87;53.22;27.62;6.49;94.98;93.82;85.32;66.17;61.11;57.30;40.73;30.27;46.64;46.64;46.64;46.64;46.64;46.64;46.64;46.64;24.04;1.84;4.65
"12067";97.80;97.61;96.34;92.68;87.78;78.65;49.80;27.75;12.94;2.71;96.90;96.39;94.29;87.96;83.07;73.68;46.41;22.10;14.08;14.08;14.08;14.08;14.08;14.08;14.08;12.55;11.94;1.32;1.39
"10046";97.81;97.57;94.74;90.50;82.50;67.88;47.78;39.92;16.11;0.27;92.20;85.74;76.33;69.58;63.29;57.71;40.99;28.82;30.34;30.34;30.34;30.34;30.34;30.34;30.34;30.34;15.84;0.00;0.27
"15087";97.85;97.24;93.24;78.78;70.07;66.35;50.09;30.74;13.46;12.94;97.34;96.13;88.58;70.09;68.41;64.60;47.81;26.80;9.65;9.65;9.65;9.65;9.65;9.65;9.65;9.65;0.52;0.00;12.94
"09571";97.89;97.50;96.57;93.57;91.34;89.35;73.43;55.64;44.04;25.70;96.01;95.76;93.83;87.82;85.45;81.52;64.30;32.43;44.02;44.02;44.02;44.02;44.02;44.02;44.02;43.46;39.06;20.68;5.32
"07320";97.91;97.91;97.91;97.62;94.18;92.35;80.89;70.47;0.27;0.27;97.91;97.79;97.70;97.42;93.98;92.35;80.34;66.54;26.10;26.10;26.10;26.10;26.10;26.10;26.10;26.10;0.27;0.27;0.00
"09172";97.91;97.62;94.65;91.39;88.74;86.40;79.16;70.45;67.40;31.13;96.85;96.34;88.21;59.71;57.20;53.71;41.34;17.87;66.07;66.07;66.07;66.07;66.07;66.07;66.07;66.07;66.07;29.80;2.68
"07319";97.92;97.90;97.86;94.97;90.52;89.17;82.00;67.62;55.73;18.78;96.38;96.21;95.56;93.96;87.16;85.16;74.07;46.61;55.73;55.73;55.73;55.73;55.73;55.73;55.73;55.73;55.73;18.70;1.75
"08337";97.99;97.13;86.00;77.75;69.44;67.74;55.18;47.46;38.79;1.35;95.24;93.05;72.01;55.22;53.29;51.45;38.39;20.34;37.48;37.48;37.48;37.48;37.48;37.48;37.48;37.48;37.48;0.00;1.35
"16073";97.99;96.86;92.17;84.89;79.25;74.46;54.31;39.38;3.38;0.88;95.88;95.13;87.59;78.43;73.20;70.24;48.55;24.43;27.70;27.70;27.70;27.70;27.70;27.70;27.70;27.70;2.50;0.00;0.88
"08128";97.99;97.99;97.99;96.42;95.34;93.87;80.77;63.16;56.23;22.36;97.66;97.66;97.66;96.17;94.97;93.23;76.55;47.12;35.88;35.88;35.88;35.88;35.88;35.88;35.88;35.88;35.88;0.00;22.36
"08237";97.99;97.14;95.14;84.74;81.23;78.68;63.08;56.97;50.46;3.76;95.56;93.35;88.57;71.42;67.94;62.88;36.45;16.94;47.34;47.34;47.34;47.34;47.34;47.34;47.34;47.34;47.24;0.00;3.76
"09372";98.01;97.42;95.37;88.29;84.94;70.72;52.72;32.94;2.15;2.15;95.47;93.93;87.60;68.63;64.42;57.41;45.98;21.88;21.01;21.01;21.01;21.01;21.01;21.01;21.01;21.01;0.00;0.00;2.15
"10042";98.01;97.57;96.35;94.63;90.99;82.74;66.99;50.25;37.76;1.74;93.58;91.80;84.59;81.70;78.84;73.07;58.64;33.78;37.76;37.76;37.76;37.76;37.76;37.76;37.76;37.76;37.76;1.74;0.00
"09173";98.07;97.48;97.44;95.88;95.63;93.79;83.41;70.35;59.71;59.71;97.43;97.31;94.12;88.97;88.68;86.65;70.89;48.80;52.39;52.39;52.39;52.39;52.39;52.39;52.39;52.39;52.39;52.39;7.59
"03460";98.11;97.77;94.22;90.50;84.07;66.23;48.24;44.28;44.05;38.92;95.75;95.21;85.24;77.44;64.60;48.31;24.04;12.38;36.21;36.21;36.21;36.21;36.21;36.21;36.21;34.88;34.88;29.61;21.64
"01051";98.11;98.11;96.66;94.43;91.02;85.54;63.26;49.81;36.13;6.67;97.45;97.45;95.28;92.92;89.38;83.19;58.60;35.38;36.13;36.13;36.13;36.13;36.13;36.13;36.13;36.13;36.13;6.67;0.00
"13073";98.12;97.73;94.32;85.58;83.60;81.33;63.57;55.82;28.77;16.71;96.23;95.73;86.85;65.81;64.10;61.16;50.61;36.22;31.69;31.69;31.69;31.69;31.69;31.69;31.69;31.69;16.67;4.22;12.54
"15003";98.15;97.79;95.99;94.26;89.31;87.21;80.72;62.99;36.72;23.20;93.39;93.23;92.54;90.57;88.73;87.14;78.51;51.04;31.19;31.19;31.19;31.19;31.19;31.19;31.19;31.19;14.32;0.00;23.20
"16070";98.15;97.83;95.59;89.88;83.25;77.53;50.14;33.46;3.67;3.39;96.23;94.82;88.44;76.06;71.93;64.25;50.14;32.52;3.57;3.57;3.57;3.57;3.57;3.57;3.57;3.57;3.57;3.30;0.15
"09773";98.16;98.16;97.62;92.12;88.24;83.33;54.46;48.95;22.32;22.18;96.01;96.01;92.13;78.78;76.71;73.27;36.36;22.99;36.60;36.60;36.60;36.60;36.60;36.60;36.60;36.60;12.10;11.88;10.75
"12068";98.16;98.16;96.25;86.48;81.33;78.33;58.24;39.64;11.02;0.02;97.55;97.55;95.19;84.65;81.01;77.58;56.02;28.79;19.24;19.24;19.24;19.24;19.24;19.24;19.24;19.24;11.00;0.00;0.02
"09374";98.26;98.26;98.12;96.65;95.11;92.76;79.84;57.39;50.04;40.96;98.26;98.26;97.99;92.08;90.33;87.70;71.12;36.87;41.95;41.95;41.95;41.95;41.95;41.95;41.95;40.57;36.76;27.22;15.77
"12051";98.27;98.24;95.45;92.87;86.85;83.33;60.60;41.10;0.61;0.61;97.45;97.44;87.26;83.86;81.91;78.39;60.60;41.10;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.61
"16067";98.27;97.56;94.34;91.44;86.03;81.27;60.76;43.83;29.15;29.15;95.55;94.80;90.54;87.97;81.22;78.19;59.16;38.13;22.51;22.51;22.51;22.51;22.51;22.51;22.51;22.51;22.33;22.33;6.82
"09774";98.29;98.06;95.42;89.25;87.71;86.30;58.88;44.49;27.58;6.99;94.27;93.60;84.25;79.19;78.27;76.97;52.96;32.86;28.02;28.02;28.02;28.02;28.02;28.02;28.02;28.02;21.81;0.00;6.99
"07135";98.30;98.26;82.58;77.49;73.13;51.48;12.72;11.51;6.60;0.48;88.03;86.94;56.74;23.12;22.16;18.74;6.73;5.39;6.12;6.12;6.12;6.12;6.12;6.12;6.12;6.12;6.12;0.00;0.48
"06635";98.30;97.13;93.88;91.24;86.67;84.25;73.55;64.70;55.18;4.20;97.18;95.70;91.47;88.75;83.74;79.53;62.22;39.93;55.18;55.18;55.18;55.18;55.18;55.18;55.18;55.18;55.18;4.19;0.01
"14625";98.35;98.01;93.57;81.76;77.14;72.73;55.23;35.89;12.64;11.25;97.51;97.13;90.89;77.20;73.93;69.30;50.49;22.94;23.74;23.74;23.74;23.74;23.69;23.69;23.67;22.75;11.18;9.78;1.51
"03462";98.36;98.36;94.20;84.19;79.29;66.45;52.24;50.47;38.32;33.70;97.15;97.15;83.29;64.55;48.14;34.12;10.80;4.26;28.72;28.72;28.72;28.72;28.72;28.72;28.72;28.72;13.57;0.00;33.70
"16062";98.38;98.25;97.19;89.72;77.90;73.30;54.43;42.46;9.61;0.60;97.50;97.34;94.17;78.10;73.63;71.75;51.92;39.36;9.02;9.02;9.02;9.02;9.02;9.02;9.02;9.02;9.02;0.00;0.60
"08425";98.39;98.14;94.15;84.82;80.75;74.69;58.39;47.51;43.82;4.37;95.32;94.81;85.06;69.26;63.43;55.98;38.93;17.14;40.83;40.83;40.83;40.83;40.83;40.83;40.83;40.83;40.83;0.00;4.37
