AGS;leitungsg. Technologien ≥ 1 Mbit/s;leitungsg. Technologien ≥ 2 Mbit/s;leitungsg. Technologien ≥ 6 Mbit/s;leitungsg. Technologien ≥ 8 Mbit/s;leitungsg. Technologien ≥ 10 Mbit/s;leitungsg. Technologien ≥ 16 Mbit/s;leitungsg. Technologien ≥ 30 Mbit/s;leitungsg. Technologien ≥ 50 Mbit/s;leitungsg. Technologien ≥ 100 Mbit/s;leitungsg. Technologien ≥ 200 Mbit/s;leitungsg. Technologien ≥ 400 Mbit/s;leitungsg. Technologien ≥ 1000 Mbit/s;DSL ≥ 1 Mbit/s;DSL ≥ 2 Mbit/s;DSL ≥ 6 Mbit/s;DSL ≥ 8 Mbit/s;DSL ≥ 10 Mbit/s;DSL ≥ 16 Mbit/s;DSL ≥ 30 Mbit/s;DSL ≥ 50 Mbit/s;DSL ≥ 100 Mbit/s;DSL ≥ 200 Mbit/s;CATV ≥ 1 Mbit/s;CATV ≥ 2 Mbit/s;CATV ≥ 6 Mbit/s;CATV ≥ 8 Mbit/s;CATV ≥ 10 Mbit/s;CATV ≥ 16 Mbit/s;CATV ≥ 30 Mbit/s;CATV ≥ 50 Mbit/s;CATV ≥ 100 Mbit/s;CATV ≥ 200 Mbit/s;CATV ≥ 400 Mbit/s;CATV ≥ 1000 Mbit/s;FTTH/B ≥ 100 Mbit/s;FTTH/B ≥ 200 Mbit/s;FTTH/B ≥ 400 Mbit/s;FTTH/B ≥ 1000 Mbit/s
08437101;100.00;100.00;100.00;100.00;100.00;100.00;100.00;99.38;86.48;36.08;0.00;0.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;95.97;86.48;36.08;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
08437102;100.00;100.00;100.00;100.00;100.00;100.00;98.05;95.75;73.33;48.15;0.00;0.00;100.00;100.00;100.00;100.00;100.00;100.00;98.05;95.75;73.33;48.15;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
08437104;100.00;100.00;100.00;99.97;99.95;99.55;97.97;96.65;82.44;81.24;78.69;48.33;100.00;100.00;99.73;99.60;99.47;97.48;95.31;93.71;57.36;42.95;78.24;78.24;78.24;78.24;78.24;78.24;78.24;78.24;78.24;78.24;78.24;47.76;2.14;1.91;1.91;1.91
08437105;100.00;100.00;100.00;100.00;100.00;100.00;100.00;98.50;85.25;38.18;0.12;0.12;100.00;100.00;100.00;100.00;100.00;100.00;100.00;98.50;85.25;38.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.12;0.12;0.12;0.12
08437107;99.48;99.48;99.48;99.20;98.91;97.65;93.50;93.50;84.64;62.19;2.39;2.39;99.48;99.48;99.48;99.20;98.91;97.65;93.50;93.50;84.64;62.19;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.39;2.39;2.39;2.39
08437114;100.00;100.00;100.00;100.00;100.00;100.00;97.67;97.67;68.18;50.86;9.30;9.30;100.00;99.97;95.55;95.55;95.55;95.55;88.78;88.78;57.71;40.39;4.65;4.65;4.65;4.65;4.65;4.65;4.65;4.65;4.65;4.65;4.65;4.65;5.81;5.81;4.65;4.65
08437118;98.84;98.84;98.84;98.02;97.93;97.64;90.23;86.63;35.71;27.41;0.00;0.00;98.45;98.45;98.45;96.90;96.51;96.12;87.54;84.34;35.71;27.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
08437123;98.14;97.99;97.99;93.61;93.61;90.70;60.64;53.51;5.11;1.46;1.46;0.00;98.14;96.68;95.95;91.57;91.57;88.65;56.40;48.55;1.46;0.00;1.46;1.46;1.46;1.46;1.46;1.46;1.46;1.46;1.46;1.46;1.46;0.00;2.19;0.00;0.00;0.00
08437124;98.60;98.60;98.60;93.80;93.66;91.75;66.53;66.53;56.34;44.19;36.99;34.59;77.15;74.62;74.08;69.28;69.14;67.23;42.66;39.24;19.35;7.20;36.99;36.99;36.99;36.99;36.99;36.99;36.99;36.99;36.99;36.99;36.99;34.59;0.00;0.00;0.00;0.00
09161000;99.97;99.92;99.88;99.85;99.84;99.77;97.98;97.88;96.72;92.53;89.37;89.37;99.85;99.83;99.76;99.74;99.69;99.56;96.79;96.49;93.61;83.88;86.61;86.61;86.61;86.61;86.61;86.61;86.61;86.61;86.61;86.59;86.59;86.59;21.73;21.73;21.73;21.73
09162001;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;99.94;99.93;100.00;100.00;100.00;99.95;98.61;91.57;83.89;74.27;69.09;60.45;99.93;99.93;99.93;99.93;99.93;99.93;99.93;99.93;99.93;99.93;99.93;99.92;73.44;69.49;69.47;69.36
09162002;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;99.93;99.93;99.99;99.99;99.99;99.89;99.83;98.31;97.65;96.58;95.38;84.78;99.78;99.78;99.78;99.78;99.78;99.78;99.78;99.78;99.78;99.78;99.78;99.78;82.38;77.63;77.63;77.63
09162003;100.00;100.00;100.00;100.00;100.00;99.99;99.96;99.96;99.88;99.88;99.40;99.40;100.00;100.00;100.00;99.70;99.37;97.12;95.73;94.79;92.04;87.47;98.86;98.86;98.86;98.86;98.86;98.86;98.86;98.86;98.86;98.86;98.86;98.65;81.20;70.13;70.00;69.67
09162004;100.00;100.00;100.00;100.00;100.00;99.95;99.92;99.92;99.87;99.70;99.00;98.96;100.00;100.00;100.00;100.00;100.00;99.92;99.84;99.83;99.74;99.37;98.72;98.72;98.72;98.72;98.72;98.72;98.72;98.72;98.72;98.72;98.72;97.06;81.26;74.17;73.94;72.98
09162005;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;99.96;99.96;99.96;100.00;100.00;100.00;100.00;100.00;100.00;100.00;99.85;99.14;98.74;99.86;99.86;99.86;99.86;99.86;99.86;99.86;99.86;99.86;99.86;99.86;99.86;82.17;74.50;74.44;74.12
09162006;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;99.96;99.81;95.70;95.70;100.00;100.00;100.00;100.00;100.00;99.98;99.94;99.93;99.89;99.38;95.64;95.64;95.64;95.64;95.64;95.64;95.64;95.64;95.64;95.64;95.64;95.64;71.14;65.42;65.42;65.18
09162007;100.00;100.00;100.00;100.00;100.00;100.00;99.85;99.80;99.57;99.33;97.35;96.49;99.93;99.93;99.93;99.93;99.93;99.93;99.16;99.09;97.50;89.30;95.31;95.31;95.31;95.31;95.31;95.31;95.31;95.31;95.31;95.31;95.31;95.03;55.08;50.34;49.30;45.64
09162008;100.00;100.00;100.00;100.00;100.00;99.98;99.98;99.95;99.89;99.30;99.17;82.69;100.00;100.00;100.00;98.32;98.27;97.87;66.31;66.06;63.74;63.61;98.99;98.99;98.99;98.99;98.99;98.99;98.99;98.99;98.99;98.99;98.99;66.45;87.02;65.33;65.23;64.95
09162009;100.00;100.00;100.00;100.00;100.00;99.95;99.88;99.85;99.81;99.49;97.12;96.56;100.00;100.00;100.00;100.00;100.00;99.83;99.15;99.08;98.93;97.14;95.70;95.70;95.70;95.70;95.70;95.70;95.70;95.70;95.70;95.70;95.70;94.20;63.29;60.90;60.88;58.99
09162010;100.00;100.00;100.00;100.00;100.00;100.00;99.87;99.78;99.09;95.92;91.49;91.49;100.00;100.00;100.00;100.00;100.00;99.45;98.74;98.37;97.24;86.41;92.48;92.48;92.48;92.48;92.48;92.48;92.48;92.48;92.48;90.25;90.25;89.61;26.45;26.28;25.61;24.48
