"AGS","leitungsg. Technologien ≥ 1 Mbit/s","leitungsg. Technologien ≥ 2 Mbit/s","leitungsg. Technologien ≥ 6 Mbit/s","leitungsg. Technologien ≥ 8 Mbit/s","leitungsg. Technologien ≥ 10 Mbit/s","leitungsg. Technologien ≥ 16 Mbit/s","leitungsg. Technologien ≥ 30 Mbit/s","leitungsg. Technologien ≥ 50 Mbit/s","leitungsg. Technologien ≥ 100 Mbit/s","leitungsg. Technologien ≥ 200 Mbit/s","leitungsg. Technologien ≥ 400 Mbit/s","leitungsg. Technologien ≥ 1000 Mbit/s","DSL ≥ 1 Mbit/s","DSL ≥ 2 Mbit/s","DSL ≥ 6 Mbit/s","DSL ≥ 8 Mbit/s","DSL ≥ 10 Mbit/s","DSL ≥ 16 Mbit/s","DSL ≥ 30 Mbit/s","DSL ≥ 50 Mbit/s","DSL ≥ 100 Mbit/s","DSL ≥ 200 Mbit/s","CATV ≥ 1 Mbit/s","CATV ≥ 2 Mbit/s","CATV ≥ 6 Mbit/s","CATV ≥ 8 Mbit/s","CATV ≥ 10 Mbit/s","CATV ≥ 16 Mbit/s","CATV ≥ 30 Mbit/s","CATV ≥ 50 Mbit/s","CATV ≥ 100 Mbit/s","CATV ≥ 200 Mbit/s","CATV ≥ 400 Mbit/s","CATV ≥ 1000 Mbit/s","FTTH/B ≥ 100 Mbit/s","FTTH/B ≥ 200 Mbit/s","FTTH/B ≥ 400 Mbit/s","FTTH/B ≥ 1000 Mbit/s"
"06631021",99.37,99.37,99.37,99.37,99.37,99.37,98.10,98.10,93.04,34.76,9.40,9.40,99.37,99.37,99.37,99.37,99.37,99.37,98.10,98.10,93.04,34.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.40,9.40,9.40,9.40
"06631022",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,95.68,48.13,10.32,10.32,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,95.68,48.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.32,10.32,10.32,10.32
"06631023",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.06,68.10,6.77,6.77,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.06,68.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.77,6.77,6.77,6.77
"06632001",99.58,99.03,98.49,98.49,98.49,98.49,97.94,97.94,90.54,77.72,77.72,65.91,79.95,79.41,77.74,77.74,77.74,77.74,76.11,76.11,44.29,0.54,77.17,77.17,77.17,77.17,77.17,77.17,77.17,77.17,77.17,77.17,77.17,65.36,0.54,0.54,0.54,0.54
"06632002",100.00,100.00,99.98,99.84,99.83,99.49,98.29,98.27,96.21,89.34,83.37,25.17,100.00,100.00,99.62,99.47,99.46,99.31,98.10,97.89,94.06,72.46,82.56,82.56,82.56,82.56,82.56,82.56,82.56,82.56,82.56,82.56,82.56,24.15,1.02,1.02,1.02,1.02
"06632003",99.31,99.14,98.89,98.48,98.48,97.43,95.13,94.95,94.10,89.73,83.99,52.14,97.77,97.60,97.16,95.94,95.94,95.88,93.58,93.35,89.76,73.64,83.48,83.48,83.48,83.48,83.48,83.48,83.48,83.48,83.48,83.48,83.48,51.45,1.72,1.72,1.72,1.72
"06632004",100.00,100.00,100.00,100.00,100.00,100.00,96.61,96.61,68.03,43.31,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,96.61,96.61,68.03,43.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"06632005",100.00,100.00,100.00,100.00,100.00,100.00,98.10,98.10,64.65,8.46,0.00,0.00,100.00,100.00,100.00,100.00,100.00,100.00,98.10,98.10,64.65,8.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"06632006",100.00,100.00,100.00,100.00,100.00,100.00,89.08,89.08,69.92,38.56,3.73,3.73,100.00,100.00,100.00,100.00,100.00,100.00,89.08,89.08,69.92,38.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.73,3.73,3.73,3.73
"06632007",100.00,100.00,99.86,99.70,99.69,99.19,99.19,98.58,92.86,80.97,63.68,52.06,100.00,100.00,99.86,99.70,99.69,99.19,99.19,96.14,88.68,67.92,62.05,62.05,62.05,62.05,62.05,62.05,62.05,62.05,62.05,62.05,62.05,50.43,1.63,1.63,1.63,1.63
"06632008",96.88,94.79,94.79,94.10,94.10,94.10,92.01,92.01,70.29,18.23,0.00,0.00,96.88,94.79,94.79,94.10,94.10,94.10,92.01,92.01,70.29,18.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
