"AGS";"alle Technologien ≥ 1 Mbit/s";"alle Technologien ≥ 2 Mbit/s";"alle Technologien ≥ 6 Mbit/s";"alle Technologien ≥ 16 Mbit/s";"alle Technologien ≥ 30 Mbit/s";"alle Technologien ≥ 50 Mbit/s";"alle Technologien ≥ 100 Mbit/s";"alle Technologien ≥ 200 Mbit/s";"alle Technologien ≥ 400 Mbit/s";"alle Technologien ≥ 1000 Mbit/s";"leitungsg. Technologien ≥ 1 Mbit/s";"leitungsg. Technologien ≥ 2 Mbit/s";"leitungsg. Technologien ≥ 6 Mbit/s";"leitungsg. Technologien ≥ 16 Mbit/s";"leitungsg. Technologien ≥ 30 Mbit/s";"leitungsg. Technologien ≥ 50 Mbit/s";"leitungsg. Technologien ≥ 100 Mbit/s";"leitungsg. Technologien ≥ 200 Mbit/s";"leitungsg. Technologien ≥ 400 Mbit/s";"leitungsg. Technologien ≥ 1000 Mbit/s";"mobile Technologien ≥ 1 Mbit/s";"mobile Technologien ≥ 2 Mbit/s";"mobile Technologien ≥ 6 Mbit/s";"DSL ≥ 1 Mbit/s";"DSL ≥ 2 Mbit/s";"DSL ≥ 6 Mbit/s";"DSL ≥ 16 Mbit/s";"DSL ≥ 30 Mbit/s";"DSL ≥ 50 Mbit/s";"DSL ≥ 100 Mbit/s";"DSL ≥ 200 Mbit/s";"CATV ≥ 1 Mbit/s";"CATV ≥ 2 Mbit/s";"CATV ≥ 6 Mbit/s";"CATV ≥ 16 Mbit/s";"CATV ≥ 30 Mbit/s";"CATV ≥ 50 Mbit/s";"CATV ≥ 100 Mbit/s";"CATV ≥ 200 Mbit/s";"CATV ≥ 400 Mbit/s";"CATV ≥ 1000 Mbit/s";"FTTH/B ≥ 100 Mbit/s";"FTTH/B ≥ 200 Mbit/s";"FTTH/B ≥ 400 Mbit/s";"FTTH/B ≥ 1000 Mbit/s"
"09674120";100;98.74;98.65;93;93;58;2;2;2;2;94;94;94;93;93;58;2;2;2;2;87.13;86.95;86.07;93;93;93;93;93;58;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2
"09674121";100;100;100;99;99;73;29.39;17.82;5;5;99.01;99;99;99;99;73;29.39;17.82;5;5;93.81;93.81;93.81;99;99;99;99;99;65;26.89;16;0;0;0;0;0;0;0;0;0;0;5;5;5;5
"09674129";99.33;99.25;99.25;98.36;98.14;97.49;88.01;75.09;71.53;1.01;99.13;99;98.75;98.36;98.14;97.49;88.01;75.09;71.53;1.01;90.23;90.05;90.05;99;99;97;93;91.50;88.28;61.30;11.73;71;71;71;71;71;71;71;71;71;0;1.01;1.01;1.01;1.01
"09674130";100;100;100;96.66;95.73;93.69;86.49;67.38;63.58;63.58;99.25;99.25;98.55;96.66;95.73;93.69;86.49;67.38;63.58;63.58;94.73;93.87;88.68;99.25;99.25;97.89;95.62;94.26;91.65;79.47;42.48;63.53;63.53;63.53;63.53;63.53;63.53;63.53;63.53;63.53;63.53;0.70;0.70;0.70;0.70
"09674133";100;100;100;100;99;88;59;59;59;0;100;100;100;100;99;88;59;59;59;0;72.68;72.43;68.93;100;100;100;99;90;77;39.38;16.06;59;59;59;59;59;59;59;59;59;0;0;0;0;0
"09674139";100;100;100;95.83;93.95;93.81;77.94;1.47;1.47;1.47;93.95;93.95;93.95;93.95;93.95;93.81;77.94;1.47;1.47;1.47;98.86;98.86;98.86;93.95;93.95;93.95;93.95;93.95;93.81;77.94;1.47;0;0;0;0;0;0;0;0;0;0;1.47;1.47;1.47;1.47
"09674147";100;100;100;100;97;96.60;79.88;76.61;71.48;2.86;100;99.41;99;98;97;96.60;79.88;76.61;71.48;2.86;95.95;93.04;91.59;100;99;98;96;94;92;70.44;55.09;69.21;69.21;69.21;69.21;69.21;69.21;69.21;69.21;69.21;0;2.86;2.86;2.86;2.86
"09674149";100;100;100;97;92.58;84.84;68.58;31.17;8.30;8.30;98;98;98;94.03;92.58;84.84;68.58;31.17;8.30;8.30;92.31;92.05;81.41;98;98;98;94.03;92.58;84.84;68.58;31.17;0;0;0;0;0;0;0;0;0;0;8.30;8.30;8.30;8.30
"09674153";100;100;100;96;95;94;88.41;59.35;35;35;100;100;99;96;95;94;88.41;59.35;35;35;94.92;94.92;92.51;100;100;98;96;95;94;88.41;59.35;0;0;0;0;0;0;0;0;0;0;35;35;35;35
"09674159";100;100;100;97.15;97;95.73;78.91;27;0.32;0.32;99.06;99.06;98.23;97.15;97;95.73;78.91;27;0.32;0.32;94.75;94.75;94.39;99.02;99.02;98.19;97.11;97;95.73;78.91;27;0;0;0;0;0;0;0;0;0;0;0.32;0.32;0.32;0.32
