"ags";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_8";"verf_300_10";"verf_300_16";"verf_300_30";"verf_300_50";"verf_300_100";"verf_300_200";"verf_300_400";"verf_300_1000";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_8";"verf_100_10";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_200_1";"verf_200_2";"verf_200_6";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_8";"verf_dsl_10";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_8";"verf_catv_10";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_umts_1";"verf_lte_2";"verf_lte_6"
"02";100.00;100.00;100.00;99.81;99.77;99.71;99.05;98.60;97.60;96.40;95.85;95.84;100.00;100.00;100.00;99.81;99.77;99.71;99.05;98.60;97.60;96.40;95.85;95.84;100.00;100.00;100.00;100.00;100.00;100.00;99.31;99.08;99.00;96.79;95.01;88.54;57.00;91.07;91.07;91.07;91.07;91.07;91.07;91.07;91.06;91.06;91.06;91.04;91.03;80.29;80.25;80.24;80.24;99.23;100.00;100.00
"03";99.98;99.98;99.98;97.80;97.68;97.50;94.60;92.96;83.78;74.77;69.13;62.03;99.44;99.16;98.82;97.77;97.64;97.45;94.59;92.95;83.78;74.77;69.13;62.03;99.96;99.96;99.94;99.02;98.49;97.49;95.40;94.95;94.33;89.58;86.78;69.31;40.92;66.01;66.01;66.01;66.01;66.01;66.01;66.01;66.01;65.76;65.69;64.76;56.27;13.42;13.42;13.41;13.33;86.17;99.96;99.94
"04";100.00;100.00;100.00;99.53;99.42;99.25;98.73;98.48;97.49;96.35;95.57;95.57;100.00;100.00;99.78;99.53;99.42;99.25;98.73;98.48;97.49;96.35;95.57;95.57;100.00;100.00;100.00;100.00;100.00;99.48;98.52;97.94;97.34;94.85;92.88;86.81;62.40;94.92;94.92;94.92;94.92;94.92;94.92;94.92;94.92;94.92;94.92;94.92;94.92;12.43;12.43;12.43;12.43;99.12;100.00;100.00
"05";100.00;100.00;100.00;98.91;98.81;98.66;96.49;96.05;92.42;84.54;78.43;63.44;99.83;99.70;99.44;98.89;98.78;98.60;96.45;96.05;92.42;84.54;78.43;63.44;99.98;99.98;99.98;99.67;99.46;98.67;97.29;96.84;96.29;92.37;91.20;81.80;53.82;74.39;74.39;74.39;74.39;74.39;74.39;74.39;74.38;74.35;74.35;74.04;57.87;14.84;14.63;14.62;14.41;95.48;99.98;99.98
"06";100.00;100.00;100.00;99.17;99.11;99.05;97.57;96.45;89.09;78.27;67.84;52.99;99.74;99.63;99.48;99.07;99.01;98.93;97.56;96.42;89.09;78.27;67.84;52.99;99.90;99.90;99.88;99.42;99.23;98.77;97.86;97.66;97.47;94.72;92.68;79.80;56.43;65.73;65.73;65.73;65.73;65.73;65.73;65.73;65.73;65.49;65.49;65.49;48.16;11.19;11.19;11.19;11.19;90.14;99.90;99.88
"07";100.00;100.00;99.99;98.64;98.54;98.42;96.23;94.28;82.98;73.23;62.54;53.97;99.59;99.44;99.09;98.50;98.40;98.25;96.12;94.24;82.98;73.23;62.54;53.97;99.80;99.80;99.73;98.76;98.28;97.18;95.61;95.22;94.66;90.46;87.70;70.87;47.52;60.88;60.88;60.88;60.88;60.88;60.88;60.88;60.52;58.43;58.33;55.96;46.65;8.41;8.41;8.38;8.38;82.26;99.80;99.73
"08";99.99;99.99;99.98;98.34;98.19;98.03;95.36;94.49;88.14;80.42;72.22;57.42;99.64;99.43;99.09;98.23;98.08;97.85;95.28;94.41;88.14;80.42;72.22;57.42;99.83;99.83;99.79;99.06;98.58;97.35;95.32;94.87;94.21;88.29;85.83;74.54;52.18;70.40;70.40;70.40;70.40;70.40;70.40;70.40;70.40;70.34;70.34;70.27;54.69;6.77;6.76;6.71;6.61;85.36;99.83;99.79
"09";99.98;99.98;99.98;99.24;99.16;99.07;97.41;95.90;89.89;76.41;65.37;60.09;99.74;99.66;99.49;99.14;99.05;98.91;97.09;95.76;89.89;76.41;65.37;60.09;99.85;99.85;99.81;99.42;99.22;98.66;97.63;97.26;96.73;92.80;90.62;80.83;55.93;64.24;64.24;64.24;64.23;64.23;64.23;64.06;63.91;63.17;62.89;61.52;55.69;17.74;17.50;17.40;17.07;87.20;99.85;99.81
"10";100.00;100.00;100.00;99.72;99.69;99.64;98.90;97.48;85.42;74.03;66.07;60.41;99.93;99.92;99.80;99.72;99.69;99.64;98.90;97.48;85.42;74.03;66.07;60.41;99.87;99.87;99.75;99.63;99.53;98.85;98.47;98.21;97.74;96.29;94.41;75.47;46.99;65.99;65.99;65.99;65.99;65.99;65.99;65.99;65.99;65.91;65.88;65.02;59.02;3.31;3.27;2.75;2.75;86.82;99.87;99.75
"11";100.00;100.00;100.00;99.63;99.56;99.45;98.77;98.34;97.27;95.90;94.19;92.35;100.00;100.00;100.00;99.63;99.56;99.45;98.77;98.34;97.27;95.90;94.19;92.35;100.00;100.00;100.00;100.00;100.00;99.00;98.28;98.00;98.00;94.53;92.45;86.07;64.93;94.68;94.68;94.68;94.68;94.68;94.68;94.68;94.68;94.68;94.68;93.83;91.78;8.37;8.37;8.37;8.37;99.90;100.00;100.00
