"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_200_1";"verf_200_2";"verf_200_6";"verf_200_16";"verf_200_30";"verf_200_50";"verf_200_100";"verf_200_200";"verf_200_400";"verf_200_1000";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_16";"verf_300_30";"verf_300_50";"verf_300_100";"verf_300_200";"verf_300_400";"verf_300_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_plc_1";"verf_plc_2";"verf_plc_6";"verf_plc_16";"verf_plc_30";"verf_plc_50";"verf_plc_100";"verf_plc_200";"verf_plc_400";"verf_plc_1000";"verf_umts_1";"verf_umts_2";"verf_lte_1";"verf_lte_2";"verf_lte_6";"verf_wlan_1";"verf_wlan_2";"verf_wlan_6";"verf_wlan_16";"verf_wlan_30";"verf_wlan_50";"verf_wlan_100";"verf_wlan_200";"verf_wlan_400";"verf_wlan_1000";"verf_wimax_1";"verf_wimax_2";"verf_wimax_6";"verf_wimax_16";"verf_wimax_30";"verf_wimax_50";"verf_wimax_100";"verf_wimax_200";"verf_wimax_400";"verf_wimax_1000"
"03354";86.77;83.10;70.22;60.13;59.06;57.40;40.41;40.41;39.02;0.02;97.61;97.61;95.01;7.06;0.82;0.00;0.00;0.00;0.00;0.00;99.13;98.90;96.81;66.76;59.87;57.40;40.41;40.41;39.02;0.02;86.60;83.10;70.11;59.27;58.04;55.64;5.30;5.30;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;39.11;39.11;39.11;39.11;39.11;39.11;39.00;39.00;39.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;51.59;44.14;96.47;96.47;95.65;16.85;16.85;16.68;7.02;0.82;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03355";96.27;95.28;88.48;80.23;78.50;77.18;59.67;59.42;57.16;1.10;99.46;99.45;98.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.89;99.87;98.90;80.23;78.50;77.18;59.67;59.42;57.16;1.10;95.61;94.61;87.23;79.02;75.46;71.70;24.19;24.19;1.10;1.10;1.10;1.10;1.10;1.10;1.10;1.10;1.10;1.10;57.39;57.39;57.39;57.39;57.39;57.39;56.06;56.06;56.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;84.33;37.16;99.36;99.36;99.04;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.69;1.69;1.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03356";98.83;98.75;98.00;96.24;93.26;86.60;60.30;51.28;36.94;30.90;98.11;96.19;89.18;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;99.91;96.24;93.26;86.60;60.30;51.28;36.94;30.90;97.52;97.09;95.52;92.37;88.10;79.78;30.51;10.10;3.12;3.12;3.12;3.12;3.12;3.12;3.12;3.12;3.12;3.12;48.00;48.00;48.00;48.00;48.00;48.00;47.46;47.46;33.75;27.71;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;87.06;42.11;95.65;95.65;93.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03357";99.09;99.03;98.22;97.19;95.78;90.00;53.48;45.76;40.13;22.52;96.36;96.26;92.46;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.95;99.93;99.68;97.19;95.78;90.00;53.48;45.76;40.13;22.52;97.57;96.97;95.04;92.90;89.92;81.81;20.86;1.96;20.29;20.29;20.29;20.29;20.29;20.29;20.29;20.29;20.29;20.29;36.27;36.27;36.27;36.27;36.27;36.27;36.14;36.14;30.66;8.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;70.30;45.19;96.26;96.26;94.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03358";95.81;95.15;91.26;84.86;81.01;79.29;66.28;62.89;61.08;5.29;98.84;98.84;96.80;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.88;99.88;98.82;84.86;81.01;79.29;66.28;62.89;61.08;5.29;94.21;93.00;88.55;80.39;74.39;70.69;33.64;11.90;5.29;5.29;5.29;5.29;5.29;5.29;5.29;5.29;5.29;5.29;61.03;61.03;61.03;61.03;61.03;61.03;60.85;60.85;60.85;0.13;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;79.86;43.28;98.83;98.83;98.34;0.43;0.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03359";99.58;99.56;98.61;97.05;95.62;92.49;78.39;67.56;64.94;36.62;98.65;98.63;97.21;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.99;99.99;99.89;97.05;95.62;92.49;78.39;67.56;64.94;36.62;98.65;97.92;96.23;91.60;88.76;82.55;52.35;33.19;16.64;16.64;16.64;16.64;16.64;16.64;16.64;16.64;16.64;16.64;60.79;60.79;60.79;60.79;60.79;60.79;59.73;59.73;59.73;30.88;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;80.01;42.31;98.63;98.63;98.03;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03360";93.73;92.38;82.84;71.21;70.05;69.15;55.92;55.53;54.27;3.25;97.60;97.59;94.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.23;99.04;97.49;71.21;70.05;69.15;55.92;55.53;54.27;3.25;93.31;91.92;81.41;68.02;64.36;61.71;7.12;7.12;3.25;3.25;3.25;3.25;3.25;3.25;3.25;3.25;3.25;3.25;54.36;54.36;54.36;54.36;54.36;54.36;53.83;53.83;53.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;71.42;41.78;97.57;97.57;96.63;0.39;0.39;0.39;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03361";97.77;97.25;93.15;87.11;83.86;76.37;65.54;63.48;60.92;31.44;99.06;98.91;97.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;99.61;87.11;83.86;76.37;65.54;63.48;60.92;31.44;96.70;95.98;90.20;80.17;72.73;63.64;29.97;19.38;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;0.34;61.56;61.56;61.56;61.56;61.56;61.56;60.67;60.67;60.67;31.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;90.33;45.05;98.91;98.91;98.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03401";100.00;100.00;100.00;99.00;98.00;98.00;93.00;90.00;90.00;90.00;100.00;100.00;97.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;99.00;98.00;98.00;93.00;90.00;90.00;90.00;100.00;100.00;99.00;96.00;93.00;91.00;68.00;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;93.00;93.00;93.00;93.00;93.00;93.00;90.00;90.00;90.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;99.00;47.00;100.00;100.00;99.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03402";99.00;99.00;99.00;98.00;98.00;97.00;92.00;91.00;91.00;0.00;100.00;100.00;98.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;98.00;98.00;97.00;92.00;91.00;91.00;0.00;99.00;99.00;98.00;96.00;90.00;87.00;53.00;8.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;93.00;93.00;93.00;93.00;93.00;93.00;91.00;91.00;91.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;96.00;36.00;99.00;99.00;98.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.00;13.00;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03403";100.00;100.00;100.00;99.00;99.00;98.00;96.00;94.00;94.00;94.00;100.00;100.00;99.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;99.00;99.00;98.00;96.00;94.00;94.00;94.00;100.00;100.00;99.00;97.00;92.00;87.00;52.00;29.00;44.00;44.00;44.00;44.00;44.00;44.00;44.00;44.00;44.00;44.00;93.00;93.00;93.00;93.00;93.00;93.00;90.00;90.00;90.00;90.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;42.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"03404";100.00;100.00;100.00;99.00;98.00;97.00;93.00;89.00;88.00;88.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;100.00;100.00;99.00;98.00;97.00;93.00;89.00;88.00;88.00;100.00;99.00;98.00;95.00;89.00;84.00;67.00;19.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;89.00;89.00;89.00;89.00;89.00;89.00;88.00;88.00;88.00;88.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;39.00;100.00;100.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
