"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000"
"05915";99.63;99.41;97.93;93.21;90.95;89.27;74.59;74.59;63.74;0.00;99.37;99.14;97.59;92.18;87.25;80.35;44.75;44.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;63.74;63.74;63.74;63.74;63.74;63.74;63.74;63.74;63.74;0.00
"05916";99.95;99.85;98.69;98.34;97.91;96.45;84.46;84.46;77.37;0.23;99.90;99.78;98.47;97.25;96.66;94.91;56.60;56.60;0.23;0.23;0.23;0.23;0.23;0.23;0.23;0.23;0.23;0.23;77.51;77.51;77.51;77.51;77.51;77.51;77.51;77.51;77.37;0.15
"05954";99.65;99.30;94.38;86.00;83.21;80.93;64.91;64.91;60.59;0.05;99.55;99.10;90.28;69.01;62.15;53.90;20.17;20.17;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;60.58;60.58;60.58;60.58;60.58;60.58;60.58;60.58;60.58;0.04
"05958";99.62;99.43;96.90;93.40;92.05;90.10;80.61;80.59;80.24;0.00;98.00;96.51;87.61;72.55;66.25;60.57;6.27;6.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;80.24;80.24;80.24;80.24;80.24;80.24;80.24;80.24;80.24;0.00
"05962";99.36;98.39;88.48;73.78;71.81;69.91;59.17;59.17;56.82;0.04;98.96;97.77;85.66;61.60;54.31;47.01;5.58;5.58;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;0.04;57.56;57.56;57.56;57.56;57.56;57.56;57.56;57.56;56.82;0.00
"05966";97.69;96.41;89.59;82.86;79.27;74.93;49.04;49.04;40.06;0.03;97.33;95.86;87.76;76.69;70.61;64.32;14.83;14.83;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;40.03;40.03;40.03;40.03;40.03;40.03;40.03;40.03;40.03;0.00
"05970";99.49;98.57;94.23;88.24;85.89;82.77;66.51;66.51;60.14;0.04;99.04;97.90;92.92;84.05;80.22;75.11;31.16;31.16;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;60.14;60.14;60.14;60.14;60.14;60.14;60.14;60.14;60.14;0.02
"05974";99.08;97.70;92.12;83.90;81.05;79.31;68.95;68.68;66.51;0.00;98.69;96.91;87.04;68.74;61.61;56.27;17.60;17.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;66.51;66.51;66.51;66.51;66.51;66.51;66.51;66.51;66.51;0.00
"05978";99.09;98.72;95.60;89.91;87.57;85.05;72.06;71.95;67.55;0.08;98.76;98.27;92.58;77.51;70.96;63.39;24.27;24.16;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;0.08;67.49;67.49;67.49;67.49;67.49;67.49;67.49;67.49;67.48;0.00
"06411";100.00;100.00;99.81;99.03;96.21;94.57;89.67;84.64;79.86;6.78;100.00;100.00;99.81;98.89;86.88;80.63;58.25;43.85;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;77.26;77.26;77.26;77.26;77.26;77.26;77.26;77.26;77.26;0.00
