"AGS","leitungsg. Technologien ≥ 1 Mbit/s","leitungsg. Technologien ≥ 2 Mbit/s","leitungsg. Technologien ≥ 6 Mbit/s","leitungsg. Technologien ≥ 16 Mbit/s","leitungsg. Technologien ≥ 30 Mbit/s","leitungsg. Technologien ≥ 50 Mbit/s","leitungsg. Technologien ≥ 100 Mbit/s","leitungsg. Technologien ≥ 200 Mbit/s","leitungsg. Technologien ≥ 400 Mbit/s","leitungsg. Technologien ≥ 1000 Mbit/s","DSL ≥ 1 Mbit/s","DSL ≥ 2 Mbit/s","DSL ≥ 6 Mbit/s","DSL ≥ 16 Mbit/s","DSL ≥ 30 Mbit/s","DSL ≥ 50 Mbit/s","DSL ≥ 100 Mbit/s","DSL ≥ 200 Mbit/s","CATV ≥ 1 Mbit/s","CATV ≥ 2 Mbit/s","CATV ≥ 6 Mbit/s","CATV ≥ 16 Mbit/s","CATV ≥ 30 Mbit/s","CATV ≥ 50 Mbit/s","CATV ≥ 100 Mbit/s","CATV ≥ 200 Mbit/s","CATV ≥ 400 Mbit/s","CATV ≥ 1000 Mbit/s","FTTH/B ≥ 1000 Mbit/s"
"09183123",100.00,100.00,100.00,80.00,80.00,80.00,73.76,0.00,0.00,0.00,100.00,100.00,100.00,80.00,80.00,80.00,73.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"06635003",99.78,99.78,96.61,95.56,89.62,82.81,74.35,73.24,73.24,44.97,95.56,95.56,95.56,95.56,89.62,82.29,66.25,36.83,73.24,73.24,73.24,73.24,73.24,73.24,73.24,73.24,73.24,44.97,0.00
"12054000",99.78,99.78,98.89,97.77,95.94,95.52,90.86,79.07,62.87,29.29,98.74,98.74,98.34,95.27,93.88,93.11,85.94,55.60,59.87,59.87,59.87,59.87,59.87,59.87,59.87,59.87,59.87,23.28,8.63
"09175135",99.79,99.79,99.43,99.43,95.39,95.23,70.21,63.83,29.26,11.93,95.74,95.74,95.39,95.39,95.39,94.79,70.21,48.11,29.79,29.79,29.79,29.79,29.79,29.79,29.79,29.79,29.26,11.93,0.00
"05766028",99.79,95.63,89.27,17.86,17.82,14.94,11.68,1.39,0.00,0.00,95.83,91.67,85.31,13.91,13.86,13.62,11.68,1.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"08116049",99.79,99.04,98.49,96.98,76.26,75.36,68.66,41.74,34.22,1.15,98.13,93.69,89.80,75.80,73.06,69.77,57.26,18.10,33.84,33.84,33.84,33.84,33.84,33.84,33.84,33.84,33.84,0.00,1.15
"13075144",99.79,99.79,98.15,94.25,94.07,92.83,1.35,0.04,0.00,0.00,99.79,99.79,87.40,13.99,13.72,12.48,1.35,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"09772163",99.79,99.04,92.44,92.41,92.19,82.00,54.21,52.83,15.13,15.13,98.40,95.27,80.58,80.08,79.09,59.83,54.21,52.83,15.13,15.13,15.13,15.13,15.13,15.13,15.13,15.13,15.13,15.13,0.00
"09377158",99.79,95.74,95.74,95.74,95.74,95.74,95.74,54.33,8.51,8.51,95.74,95.74,95.74,93.62,74.47,74.47,74.47,51.52,85.83,85.83,85.83,85.83,85.83,85.83,85.83,18.79,0.00,0.00,8.51
"09277111",99.79,94.07,93.36,81.72,78.93,71.22,61.96,61.96,24.61,24.61,96.36,90.64,87.39,57.01,55.58,50.89,33.58,24.93,61.96,61.96,61.96,61.96,61.96,61.96,61.96,61.96,24.61,24.61,0.00
