"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_8";"verf_100_10";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_8";"verf_dsl_10";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_8";"verf_catv_10";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000"
"01";98.63;98.17;96.20;96.09;95.86;94.15;93.03;92.25;85.65;81.12;72.43;62.11;96.74;95.99;90.96;90.75;90.26;85.52;83.78;81.25;72.31;55.26;66.12;66.12;66.12;66.12;66.12;66.12;66.12;66.12;66.12;66.12;60.32;47.01;22.29;22.28;22.28;22.28
"02";99.96;99.91;99.70;99.66;99.64;99.39;99.16;99.00;98.30;97.56;96.80;96.77;99.85;99.81;99.24;99.08;98.94;97.63;95.47;92.72;87.10;65.42;93.06;93.06;93.06;93.06;93.06;93.06;93.06;93.06;93.06;93.06;92.93;92.89;79.19;79.14;79.13;79.13
"03";98.81;98.50;96.94;96.82;96.64;95.09;93.01;90.10;80.57;74.38;65.00;49.72;97.70;97.12;93.95;93.83;93.46;90.21;86.59;81.84;65.23;47.05;63.48;63.48;63.48;63.48;63.48;63.48;63.48;63.48;63.48;63.15;59.70;42.28;12.43;12.43;12.42;12.37
"04";99.76;99.52;98.51;98.28;98.22;97.29;95.85;95.64;94.57;93.40;92.54;92.54;99.43;99.25;96.47;95.51;95.00;89.25;87.77;80.92;73.61;60.61;84.46;84.46;84.46;84.46;84.46;84.46;84.46;84.46;84.46;84.46;84.46;84.46;33.85;33.85;33.85;33.85
"05";99.53;99.37;98.47;98.35;98.18;96.83;95.47;94.69;87.56;82.43;73.39;53.40;99.01;98.74;96.68;96.55;96.23;93.37;91.88;90.01;77.07;62.70;70.12;70.12;70.12;70.12;70.12;70.12;70.12;70.12;70.12;70.12;69.69;48.53;8.04;7.90;7.83;7.70
"06";99.51;99.40;98.93;98.88;98.82;98.29;97.46;96.36;88.86;80.76;67.70;46.06;98.77;98.50;97.32;97.24;97.11;95.84;94.08;91.42;79.28;63.04;65.76;65.76;65.76;65.76;65.76;65.76;65.76;65.76;65.76;65.76;65.76;42.64;6.46;6.46;6.45;6.45
"07";99.08;98.85;97.79;97.68;97.56;96.41;95.59;93.20;81.38;72.38;54.15;41.08;97.74;97.25;94.43;94.30;94.00;91.29;89.75;85.67;71.62;53.38;56.23;56.23;56.23;56.23;56.23;56.23;56.23;56.23;56.23;55.76;48.46;34.36;10.11;10.11;10.07;10.07
"08";99.27;99.06;97.89;97.79;97.61;96.05;94.79;93.37;86.99;80.66;70.63;48.30;98.24;97.80;94.96;94.81;94.45;90.51;88.42;84.29;74.70;58.27;67.95;67.95;67.95;67.95;67.95;67.95;67.95;67.95;67.95;67.95;67.90;44.68;7.05;7.01;6.89;6.62
"09";99.55;99.46;99.02;98.95;98.83;97.95;97.11;95.64;89.43;78.60;63.21;56.91;98.76;98.51;96.99;96.84;96.50;93.59;92.42;89.94;81.66;63.74;63.57;63.57;63.57;63.57;63.57;63.57;63.52;63.50;63.50;63.20;59.09;52.19;16.40;15.30;14.94;14.93
"10";99.67;99.59;99.09;99.03;98.91;98.33;97.25;95.12;86.10;77.93;65.10;51.43;99.07;98.83;97.04;96.96;96.75;95.18;94.03;91.17;78.75;59.90;68.40;68.40;68.40;68.40;68.40;68.40;68.40;68.40;68.40;68.24;64.49;50.78;4.22;4.22;1.18;1.18
"11";99.85;99.84;99.68;99.63;99.51;99.22;99.05;98.87;97.79;96.54;91.78;88.09;99.83;99.82;99.47;99.39;99.19;98.28;97.63;96.41;91.44;78.94;94.58;94.58;94.58;94.58;94.58;94.58;94.58;94.58;94.58;94.58;91.42;87.64;7.20;7.20;7.20;7.20
"12";98.44;98.17;96.95;96.83;96.56;94.22;92.43;90.45;76.78;61.41;33.83;18.12;97.49;97.11;94.89;94.75;94.39;90.92;89.20;86.65;71.86;49.32;38.36;38.36;38.36;38.36;38.36;38.36;38.36;38.36;38.36;37.79;30.69;14.61;5.80;5.75;5.74;4.71
"13";96.90;96.27;91.98;91.71;90.92;82.67;79.72;78.15;68.73;59.47;39.36;29.73;95.95;95.34;89.91;89.54;88.33;74.17;72.32;70.45;60.50;46.14;44.60;44.60;44.60;44.60;44.60;44.60;44.58;44.58;44.58;41.90;35.14;25.09;5.82;5.82;5.71;5.71
"14";97.90;97.48;95.56;95.35;95.02;91.42;89.32;88.18;80.84;67.57;47.21;41.82;97.03;96.52;93.03;92.82;92.22;85.36;83.87;82.54;73.44;54.54;44.76;44.76;44.76;44.76;44.76;44.76;44.76;44.65;44.12;41.68;37.80;30.33;15.94;15.94;15.92;15.75
