"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_200_1";"verf_200_2";"verf_200_6";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_16";"verf_300_30";"verf_300_50";"verf_300_100";"verf_300_200";"verf_300_400";"verf_300_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_2g";"verf_umts_1";"verf_umts_2";"verf_lte_1";"verf_lte_2";"verf_lte_6"
"01001";100.00;100.00;100.00;100.00;99.00;98.86;97.73;96.32;95.29;95.25;100.00;99.97;98.15;100.00;100.00;100.00;100.00;99.00;98.86;97.73;96.32;95.29;95.25;100.00;100.00;100.00;99.00;94.79;93.21;84.04;64.06;13.29;13.29;13.29;13.29;13.29;13.29;13.29;13.29;13.29;13.29;94.02;94.02;94.02;94.02;94.02;94.02;94.02;94.01;94.01;93.97;100.00;99.89;93.33;99.97;99.97;98.15
"01002";100.00;100.00;100.00;100.00;98.58;98.11;97.21;95.92;61.65;28.15;99.95;99.74;99.10;100.00;100.00;100.00;100.00;98.58;98.11;97.21;95.92;61.65;28.15;100.00;100.00;100.00;100.00;90.27;78.42;72.84;56.86;21.47;21.47;21.47;21.47;21.47;21.47;21.47;21.47;21.47;21.47;93.55;93.55;93.55;93.55;93.55;93.55;93.55;93.55;50.62;8.50;100.00;99.82;96.56;99.67;99.67;99.10
"01003";100.00;100.00;100.00;99.00;98.27;97.83;96.40;94.56;93.20;87.03;99.99;99.94;99.21;100.00;100.00;100.00;99.00;98.27;97.83;96.40;94.56;93.20;87.03;100.00;100.00;99.00;99.00;94.36;88.90;80.29;53.49;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;3.00;92.86;92.86;92.86;92.86;92.86;92.86;92.86;92.86;92.86;86.67;100.00;99.12;89.90;99.94;99.94;99.21
"01004";100.00;100.00;100.00;99.00;98.25;98.00;96.44;95.93;95.28;95.28;100.00;100.00;100.00;100.00;100.00;100.00;99.00;98.25;98.00;96.44;95.93;95.28;95.28;100.00;100.00;100.00;96.00;73.05;66.50;53.77;28.93;28.00;28.00;28.00;28.00;28.00;28.00;28.00;28.00;28.00;28.00;93.13;93.13;93.13;93.13;93.13;93.13;93.13;93.13;92.88;92.88;100.00;99.95;92.16;100.00;100.00;100.00
"01051";97.75;97.25;92.24;88.17;86.33;84.35;74.54;62.32;52.50;35.27;94.44;93.93;87.42;98.84;98.68;96.64;88.17;86.33;84.35;74.54;62.32;52.50;35.27;96.81;95.88;88.90;83.21;80.75;77.89;60.46;32.23;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;10.00;43.32;43.32;43.32;43.32;43.32;43.32;43.10;43.10;43.10;25.79;100.00;82.47;71.79;93.86;93.86;87.42
"01053";98.85;98.59;97.61;96.00;95.22;94.79;92.11;89.52;72.25;49.72;98.97;98.97;97.40;99.83;99.77;99.59;96.00;95.22;94.79;92.11;89.52;72.25;49.72;95.58;94.29;89.44;85.34;82.31;79.92;65.54;39.51;43.44;43.44;43.44;43.44;43.44;43.44;43.44;43.44;43.44;43.44;68.62;68.62;68.62;68.62;68.62;68.62;67.27;67.27;49.36;11.86;100.00;84.93;70.74;98.97;98.97;97.40
"01054";94.72;93.25;86.78;81.99;78.66;76.97;68.30;60.44;53.60;13.73;93.97;93.15;88.82;97.80;97.55;96.43;81.99;78.66;76.97;68.30;60.44;53.60;13.73;93.57;91.94;84.03;76.71;72.35;69.54;52.45;28.19;10.38;10.38;10.38;10.38;10.38;10.38;10.38;10.38;10.38;10.38;45.99;45.99;45.99;45.99;45.99;45.99;45.53;45.53;45.53;3.68;100.00;80.60;68.22;92.16;92.16;88.82
"01055";96.12;94.79;90.21;86.85;86.09;84.98;77.56;68.76;63.58;55.29;99.57;99.29;96.22;98.71;98.61;98.38;86.85;86.09;84.98;77.56;68.76;63.58;55.29;95.83;94.20;88.72;83.00;81.32;79.53;65.83;39.08;1.74;1.74;1.74;1.74;1.74;1.74;1.74;1.74;1.74;1.74;62.96;62.96;62.96;62.96;62.96;62.96;62.76;62.76;62.76;54.46;100.00;89.55;71.41;99.29;99.29;96.22
"01056";99.72;99.56;98.85;96.77;95.43;94.31;89.88;86.24;78.53;78.53;99.83;99.82;97.14;99.94;99.90;99.66;96.77;95.43;94.31;89.88;86.24;78.53;78.53;99.57;99.38;98.33;94.24;89.60;85.34;69.81;40.27;23.07;23.07;23.07;23.07;23.07;23.07;23.07;23.07;23.07;23.07;79.95;79.95;79.95;79.95;79.95;79.95;79.71;79.71;74.16;74.15;100.00;98.03;81.83;99.81;99.81;97.14
"01057";95.92;94.12;89.07;85.72;84.17;82.92;73.76;63.66;44.33;23.36;99.07;98.98;97.07;98.63;98.40;97.82;85.72;84.17;82.92;73.76;63.66;44.33;23.36;95.00;92.71;85.97;81.48;78.66;75.56;58.59;29.26;11.87;11.87;11.87;11.87;11.87;11.87;11.87;11.87;11.87;11.87;46.03;46.03;46.03;46.03;46.03;46.03;45.74;45.74;33.06;11.86;100.00;85.28;67.08;98.87;98.87;97.07
