"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_8";"verf_100_10";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_8";"verf_dsl_10";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_8";"verf_catv_10";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000"
"01";99.26;98.85;98.35;97.02;96.96;96.58;93.68;93.32;87.77;82.32;73.34;67.84;98.37;97.34;95.58;92.73;92.51;90.77;84.93;84.00;76.70;59.14;66.15;66.15;66.15;66.15;66.15;66.15;66.15;66.15;66.15;66.15;62.17;55.04;23.02;23.01;23.01;23.01
"02";99.98;99.95;99.91;99.85;99.85;99.79;99.41;99.34;98.76;97.91;97.10;97.09;99.95;99.91;99.72;99.54;99.43;98.55;96.37;94.00;89.05;69.89;92.93;92.93;92.93;92.93;92.93;92.93;92.93;92.93;92.93;92.93;92.92;92.92;79.33;79.28;79.27;79.27
"03";99.40;99.12;98.75;97.87;97.82;97.45;93.86;91.34;82.39;75.63;67.46;58.21;98.95;98.43;97.45;95.88;95.72;94.42;87.69;83.42;67.64;49.19;63.47;63.47;63.47;63.47;63.47;63.47;63.47;63.47;63.47;63.18;61.61;50.81;13.67;13.66;13.66;13.56
"04";99.86;99.70;99.46;99.35;99.32;99.13;97.83;97.75;96.69;95.31;93.59;93.59;99.73;99.63;98.88;98.62;98.42;97.40;93.25;90.95;84.50;71.36;84.43;84.43;84.43;84.43;84.43;84.43;84.43;84.43;84.43;84.43;84.43;84.43;35.70;35.70;35.70;35.70
"05";99.74;99.61;99.35;98.90;98.86;98.55;96.11;95.70;91.67;84.01;74.73;56.45;99.50;99.27;98.52;97.75;97.62;96.67;93.02;92.09;85.30;66.73;70.14;70.14;70.14;70.14;70.14;70.14;70.14;70.14;70.14;70.14;69.92;50.36;15.02;9.87;9.80;9.67
"06";99.68;99.59;99.43;99.19;99.17;99.02;97.91;97.11;90.49;82.45;68.89;49.07;99.34;99.10;98.56;98.07;97.99;97.39;95.05;93.67;83.03;67.02;65.81;65.81;65.81;65.81;65.81;65.81;65.81;65.81;65.81;65.81;65.81;44.21;9.25;9.25;9.24;9.24
"07";99.55;99.42;99.07;98.73;98.68;98.41;96.58;94.93;83.44;73.74;58.84;46.69;98.90;98.48;97.41;96.59;96.45;95.55;91.76;89.08;74.99;56.10;56.20;56.20;56.20;56.20;56.20;56.20;56.20;56.20;56.20;55.79;52.59;39.53;10.98;10.98;10.94;10.94
"08";99.64;99.44;99.15;98.56;98.50;98.20;95.69;95.02;89.39;82.40;71.85;52.38;99.04;98.64;97.36;96.42;96.24;94.50;90.16;88.06;79.76;63.47;67.99;67.99;67.99;67.99;67.99;67.99;67.99;67.99;67.99;67.99;67.94;47.26;9.26;9.23;9.11;8.84
"09";99.76;99.71;99.60;99.42;99.40;99.26;97.70;96.76;91.84;80.43;66.63;61.24;99.44;99.26;98.79;98.32;98.21;97.25;93.64;92.07;85.41;67.19;63.88;63.88;63.88;63.88;63.88;63.88;63.83;63.80;63.80;63.38;61.62;55.71;18.16;17.20;17.04;16.73
"10";99.80;99.73;99.54;99.44;99.40;99.12;97.92;96.33;87.55;78.80;68.42;62.41;99.38;99.18;98.14;97.84;97.72;96.68;94.74;92.86;80.46;61.28;68.32;68.32;68.32;68.32;68.32;68.32;68.32;68.32;68.32;68.21;67.03;61.01;5.40;5.40;2.51;2.51
"11";99.97;99.97;99.93;99.89;99.88;99.81;99.40;99.29;98.59;97.25;92.62;89.23;99.94;99.93;99.77;99.70;99.65;99.14;98.19;97.45;93.73;82.47;94.81;94.81;94.81;94.81;94.81;94.81;94.81;94.81;94.81;94.80;91.62;88.14;9.36;9.36;9.36;9.35
"12";99.22;99.05;98.71;98.29;98.24;97.90;94.72;94.02;86.30;67.19;38.79;24.37;98.92;98.67;98.02;97.45;97.36;96.73;92.22;91.23;82.91;56.83;38.62;38.62;38.62;38.62;38.62;38.62;38.62;38.62;38.62;37.72;34.45;19.44;7.68;7.66;7.65;6.53
"13";98.48;97.87;97.03;94.52;94.29;93.09;82.79;81.99;75.06;63.79;45.46;37.01;98.08;97.34;96.17;93.16;92.70;89.77;75.90;74.93;67.61;51.17;45.08;45.08;45.08;45.08;45.08;45.08;45.07;45.07;45.07;42.43;38.40;29.54;8.97;8.97;8.87;8.87
"14";99.07;98.73;98.26;97.28;97.19;96.61;92.21;91.61;86.18;71.86;51.11;45.70;98.75;98.31;97.33;95.94;95.77;94.74;87.67;86.96;80.01;59.75;44.92;44.92;44.92;44.92;44.92;44.92;44.92;44.81;44.29;42.50;39.62;31.95;18.32;18.32;18.30;18.14
"15";99.14;98.80;98.35;97.20;97.08;96.28;91.55;90.76;85.67;68.07;38.10;24.09;98.87;98.50;97.72;96.29;96.10;94.86;88.84;88.03;81.86;58.17;32.70;32.70;32.70;32.70;32.70;32.70;32.70;32.70;32.70;32.50;25.63;9.29;15.28;15.28;15.24;15.23
"16";99.22;98.92;98.47;97.70;97.64;97.22;93.64;92.11;83.44;66.48;40.25;24.87;98.52;98.02;96.99;95.77;95.62;94.68;89.34;88.69;80.36;56.41;40.09;40.09;40.09;40.09;40.09;40.09;40.09;40.08;40.08;39.64;37.13;20.73;4.56;4.56;4.56;4.43
