"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_16";"verf_100_30";"verf_100_50";"verf_200_1";"verf_200_2";"verf_200_6";"verf_200_16";"verf_200_30";"verf_200_50";"verf_300_1";"verf_300_2";"verf_300_6";"verf_300_16";"verf_300_30";"verf_300_50";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_ftth_1";"verf_ftth_2";"verf_ftth_6";"verf_ftth_16";"verf_ftth_30";"verf_ftth_50";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_plc_1";"verf_plc_2";"verf_plc_6";"verf_plc_16";"verf_plc_30";"verf_plc_50";"verf_umts_1";"verf_umts_2";"verf_lte_1";"verf_lte_2";"verf_lte_6";"verf_wlan_1";"verf_wlan_2";"verf_wlan_6";"verf_wlan_16";"verf_wlan_30";"verf_wlan_50";"verf_wimax_1";"verf_wimax_2";"verf_wimax_6";"verf_wimax_16";"verf_wimax_30";"verf_wimax_50"
"09572";99;99;99;97;95;84;99;99;97;0;0;0;99;99;99;97;95;84;99;99;98;94;78;61;0;0;0;0;0;0;47;47;47;47;47;47;0;0;0;0;0;0;94;55;99;99;97;0;0;0;0;0;0;0;0;0;0;0;0
"09573";99;99;99;96;91;78;99;99;97;0;0;0;99;99;99;96;91;79;99;99;99;95;86;70;0;0;0;0;0;0;46;46;46;46;46;46;0;0;0;0;0;0;94;53;99;99;97;0;0;0;0;0;0;0;0;0;0;0;0
"09574";98;98;96;93;89;83;98;98;97;11;5;5;99;99;99;94;89;84;98;98;96;90;79;71;3;3;3;3;3;3;47;47;47;47;47;47;0;0;0;0;0;0;89;49;98;98;97;16;16;16;11;5;5;0;0;0;0;0;0
"09575";97;97;95;90;83;71;94;93;86;0;0;0;99;99;99;90;83;71;97;96;92;76;65;49;2;2;2;2;2;2;42;42;42;42;42;42;0;0;0;0;0;0;72;47;92;92;86;0;0;0;0;0;0;0;0;0;0;0;0
"09576";98;97;96;90;81;73;99;99;97;22;9;9;99;99;99;92;83;76;97;96;95;84;69;56;2;2;2;2;2;2;41;41;41;41;41;41;0;0;0;0;0;0;92;55;98;98;95;40;40;40;22;9;9;0;0;0;0;0;0
"09577";96;96;94;92;89;84;93;93;87;6;4;4;99;99;99;95;92;88;96;95;93;84;74;65;4;4;4;4;4;4;53;53;53;53;53;53;0;0;0;0;0;0;76;44;91;91;85;6;6;6;6;4;4;0;0;0;0;0;0
"09661";100;100;100;99;99;97;100;100;100;84;0;0;100;100;100;100;99;97;100;100;100;96;67;61;66;66;66;66;66;66;91;91;91;91;91;91;0;0;0;0;0;0;100;36;100;100;100;84;84;84;84;0;0;0;0;0;0;0;0
"09662";100;100;100;99;98;91;100;100;100;0;0;0;100;100;100;99;98;91;100;100;100;98;87;80;13;13;13;13;13;13;94;94;94;94;94;68;0;0;0;0;0;0;100;46;100;100;100;0;0;0;0;0;0;0;0;0;0;0;0
"09663";100;100;100;99;97;94;100;100;97;0;0;0;100;100;100;99;97;94;100;100;100;99;93;76;1;1;1;1;1;1;87;87;87;87;87;87;0;0;0;0;0;0;100;40;100;100;97;0;0;0;0;0;0;0;0;0;0;0;0
"09671";99;99;99;97;91;77;99;99;99;33;0;0;99;99;99;98;91;77;99;99;99;95;87;70;4;4;4;4;4;4;34;34;34;34;33;33;0;0;0;0;0;0;92;55;98;98;96;36;36;36;33;0;0;0;0;0;0;0;0
