"ags";"verf_100_1";"verf_100_2";"verf_100_6";"verf_100_8";"verf_100_10";"verf_100_16";"verf_100_30";"verf_100_50";"verf_100_100";"verf_100_200";"verf_100_400";"verf_100_1000";"verf_dsl_1";"verf_dsl_2";"verf_dsl_6";"verf_dsl_8";"verf_dsl_10";"verf_dsl_16";"verf_dsl_30";"verf_dsl_50";"verf_dsl_100";"verf_dsl_200";"verf_catv_1";"verf_catv_2";"verf_catv_6";"verf_catv_8";"verf_catv_10";"verf_catv_16";"verf_catv_30";"verf_catv_50";"verf_catv_100";"verf_catv_200";"verf_catv_400";"verf_catv_1000";"verf_ftth_100";"verf_ftth_200";"verf_ftth_400";"verf_ftth_1000"
"01";99.84;99.83;99.63;99.31;99.26;99.02;96.08;95.46;89.31;78.78;65.71;61.10;99.28;98.84;96.62;94.97;94.63;93.50;85.57;83.84;72.97;48.29;50.23;50.23;50.23;50.23;50.23;50.23;50.23;50.23;50.23;50.23;43.93;37.26;32.84;32.84;32.84;32.84
"02";99.95;99.86;99.76;99.65;99.63;99.51;98.59;98.43;97.03;94.49;92.40;92.40;99.93;99.83;99.52;99.02;98.83;97.08;91.84;89.90;84.04;62.87;74.44;74.44;74.44;74.44;74.44;74.44;74.44;74.44;74.44;74.44;74.44;74.44;81.04;81.02;81.02;81.02
"03";99.59;99.39;98.93;98.24;98.16;97.74;92.55;88.90;77.28;67.41;56.32;48.12;99.08;98.77;97.82;96.65;96.37;95.43;84.52;78.97;60.55;41.55;43.64;43.64;43.64;43.64;43.64;43.64;43.64;43.64;43.64;43.35;41.45;32.09;20.88;20.88;20.87;20.87
"04";99.46;98.73;97.72;97.53;97.45;96.84;93.10;92.88;89.81;84.88;79.51;79.51;98.94;98.53;96.49;96.09;95.52;94.55;84.25;82.75;70.72;55.35;52.32;52.32;52.32;52.32;52.32;52.32;52.32;52.32;52.32;52.32;52.32;52.32;48.90;48.90;48.90;48.90
"05";99.82;99.75;99.43;99.07;99.02;98.63;95.25;94.58;86.67;71.55;57.10;40.28;99.59;99.46;98.59;97.87;97.65;96.74;91.33;90.01;78.26;53.74;43.22;43.22;43.22;43.22;43.22;43.22;43.22;43.22;43.22;43.22;42.92;24.37;24.09;20.43;20.19;19.90
"06";99.79;99.73;99.55;99.28;99.23;98.95;96.81;95.98;87.02;76.11;59.07;43.17;99.61;99.51;99.00;98.58;98.40;97.07;92.61;90.86;76.31;55.50;48.42;48.42;48.42;48.42;48.42;48.42;48.42;48.42;48.42;48.42;48.42;29.12;18.78;18.78;18.78;18.78
"07";99.57;99.39;98.91;98.22;98.10;97.39;93.35;91.46;79.96;64.80;47.25;36.90;99.13;98.80;97.57;96.34;95.99;94.96;87.98;84.99;69.14;44.11;34.56;34.56;34.56;34.56;34.56;34.56;34.56;34.56;34.56;34.04;30.19;18.39;21.38;21.38;21.29;21.29
"08";99.79;99.64;99.29;98.85;98.73;98.28;94.18;93.09;85.13;71.96;57.83;39.06;99.25;98.98;97.61;96.68;96.31;94.97;88.38;86.45;74.65;50.97;45.62;45.62;45.62;45.62;45.62;45.62;45.62;45.62;45.62;45.62;45.59;24.73;18.81;18.71;18.49;17.84
"09";99.85;99.80;99.66;99.51;99.48;99.27;96.70;95.40;88.85;75.62;60.16;55.52;99.51;99.38;98.83;98.40;98.21;97.37;90.75;88.65;79.62;58.78;50.09;50.09;50.09;50.09;50.09;50.09;50.06;50.06;50.06;49.55;47.25;41.58;25.24;23.71;23.38;22.86
"10";99.74;99.61;99.36;99.20;99.08;98.69;96.11;93.23;83.96;68.89;58.37;54.00;99.24;98.95;97.64;97.31;97.10;96.07;92.10;88.99;75.38;49.25;53.46;53.46;53.46;53.46;53.46;53.46;53.46;53.46;53.46;53.35;52.79;48.42;11.00;11.00;7.76;7.76
