AGS,year,year_max,first_pos_year,dropped
09471454,2018,0,NA,FALSE
09471454,2019,0,NA,FALSE
09471454,2020,0,NA,FALSE
09471454,2021,0,NA,FALSE
09471455,2021,0,2018,TRUE
09471456,2021,0,2018,TRUE
09471457,2018,0,NA,FALSE
09471457,2019,0,NA,FALSE
09471457,2020,0,NA,FALSE
09471457,2021,0,NA,FALSE
09471459,2018,0,NA,FALSE
09471459,2019,0,NA,FALSE
09471459,2020,0,NA,FALSE
09471459,2021,0,NA,FALSE
09471460,2018,0,NA,FALSE
09471460,2019,0,NA,FALSE
09471460,2020,0,NA,FALSE
09471460,2021,0,NA,FALSE
09471461,2018,0,NA,FALSE
09471461,2019,0,NA,FALSE
09471461,2020,0,NA,FALSE
09471461,2021,0,NA,FALSE
09471462,2018,0,NA,FALSE
09471462,2019,0,NA,FALSE
09471462,2020,0,NA,FALSE
09471462,2021,0,NA,FALSE
09472451,2021,0,2018,TRUE
09472453,2021,0,2018,TRUE
09472454,2021,0,2018,TRUE
09472456,2021,0,2018,TRUE
09472458,2018,0,NA,FALSE
09472458,2019,0,NA,FALSE
09472458,2020,0,NA,FALSE
09472458,2021,0,NA,FALSE
09472463,2021,0,2018,TRUE
09472464,2018,0,NA,FALSE
09472464,2019,0,NA,FALSE
09472464,2020,0,NA,FALSE
09472464,2021,0,NA,FALSE
09472468,2021,0,2018,TRUE
09472469,2018,0,NA,FALSE
09472469,2019,0,NA,FALSE
09472469,2020,0,NA,FALSE
09472469,2021,0,NA,FALSE
09472470,2020,0,2018,TRUE
09472470,2021,0,2018,TRUE
09473452,2018,0,NA,FALSE
09473452,2019,0,NA,FALSE
09473452,2020,0,NA,FALSE
09473452,2021,0,NA,FALSE
09473453,2018,0,NA,FALSE
09473453,2019,0,NA,FALSE
09473453,2020,0,NA,FALSE
09473453,2021,0,NA,FALSE
09473454,2018,0,NA,FALSE
09473454,2019,0,NA,FALSE
09473454,2020,0,NA,FALSE
09473454,2021,0,NA,FALSE
09475451,2021,0,2018,TRUE
09475452,2021,0,2018,TRUE
09475453,2021,0,2018,TRUE
09475454,2018,0,NA,FALSE
09475454,2019,0,NA,FALSE
09475454,2020,0,NA,FALSE
09475454,2021,0,NA,FALSE
09476451,2018,0,NA,FALSE
09476451,2019,0,NA,FALSE
09476451,2020,0,NA,FALSE
09476451,2021,0,NA,FALSE
09476453,2021,0,2018,TRUE
09478451,2018,0,NA,FALSE
09478451,2019,0,NA,FALSE
09478451,2020,0,NA,FALSE
09478451,2021,0,NA,FALSE
09478453,2021,0,2018,TRUE
09479453,2018,0,NA,FALSE
09479453,2019,0,NA,FALSE
09479453,2020,0,NA,FALSE
09479453,2021,0,NA,FALSE
09479455,2021,0,2018,TRUE
09479456,2021,0,2018,TRUE
09479457,2018,0,NA,FALSE
09479457,2019,0,NA,FALSE
09479457,2020,0,NA,FALSE
09479457,2021,0,NA,FALSE
09479459,2021,0,2018,TRUE
09479460,2021,0,2018,TRUE
09479461,2021,0,2018,TRUE
09479462,2018,0,NA,FALSE
09479462,2019,0,NA,FALSE
09479462,2020,0,NA,FALSE
09479462,2021,0,NA,FALSE
09479463,2021,0,2018,TRUE
09571451,2015,0,NA,FALSE
09571451,2016,0,NA,FALSE
09571451,2017,0,NA,FALSE
09571451,2018,0,NA,FALSE
09571451,2019,0,NA,FALSE
09571451,2020,0,NA,FALSE
09571451,2021,0,NA,FALSE
09572451,2018,0,NA,FALSE
09572451,2019,0,NA,FALSE
09572451,2020,0,NA,FALSE
09572451,2021,0,NA,FALSE
09572452,2021,0,2018,TRUE
09572453,2018,0,2019,FALSE
09572453,2021,0,2019,TRUE
09572454,2021,0,2018,TRUE
09572455,2021,0,2018,TRUE
09572456,2021,0,2018,TRUE
09572457,2021,0,2018,TRUE
09572458,2021,0,2018,TRUE
09572459,2021,0,2018,TRUE
09572460,2021,0,2018,TRUE
09574451,2021,0,2018,TRUE
09574452,2020,0,2018,TRUE
09574452,2021,0,2018,TRUE
09574453,2021,0,2018,TRUE
09574454,2021,0,2018,TRUE
09574455,2021,0,2018,TRUE
09574456,2018,0,NA,FALSE
09574456,2019,0,NA,FALSE
09574456,2020,0,NA,FALSE
09574456,2021,0,NA,FALSE
09574457,2020,0,2018,TRUE
09574457,2021,0,2018,TRUE
09574458,2021,0,2018,TRUE
09574460,2021,0,2018,TRUE
09574461,2018,0,NA,FALSE
09574461,2019,0,NA,FALSE
09574461,2020,0,NA,FALSE
09574461,2021,0,NA,FALSE
09574462,2021,0,2018,TRUE
09574463,2018,0,NA,FALSE
09574463,2019,0,NA,FALSE
09574463,2020,0,NA,FALSE
09574463,2021,0,NA,FALSE
09574464,2021,0,2018,TRUE
09574465,2021,0,2018,TRUE
09575451,2015,0,NA,FALSE
09575451,2016,0,NA,FALSE
09575451,2017,0,NA,FALSE
09575451,2018,0,NA,FALSE
09575451,2019,0,NA,FALSE
09575451,2020,0,NA,FALSE
09575451,2021,0,NA,FALSE
09576451,2018,0,NA,FALSE
09576451,2019,0,NA,FALSE
09576451,2020,0,NA,FALSE
09576451,2021,0,NA,FALSE
09576452,2018,0,NA,FALSE
09576452,2019,0,NA,FALSE
09576452,2020,0,NA,FALSE
09576452,2021,0,NA,FALSE
09576453,2021,0,2018,TRUE
09576454,2018,0,NA,FALSE
09576454,2019,0,NA,FALSE
09576454,2020,0,NA,FALSE
09576454,2021,0,NA,FALSE
09576455,2018,0,NA,FALSE
09576455,2019,0,NA,FALSE
09576455,2020,0,NA,FALSE
09576455,2021,0,NA,FALSE
09671451,2018,0,NA,FALSE
09671451,2019,0,NA,FALSE
09671451,2020,0,NA,FALSE
09671451,2021,0,NA,FALSE
09671453,2021,0,2018,TRUE
09671456,2021,0,2018,TRUE
09671457,2021,0,2018,TRUE
09671458,2018,0,NA,FALSE
09671458,2019,0,NA,FALSE
09671458,2020,0,NA,FALSE
09671458,2021,0,NA,FALSE
09671459,2021,0,2018,TRUE
09671460,2021,0,2018,TRUE
09671461,2018,0,NA,FALSE
09671461,2019,0,NA,FALSE
09671461,2020,0,NA,FALSE
09671461,2021,0,NA,FALSE
09672451,2018,0,NA,FALSE
09672451,2019,0,NA,FALSE
09672451,2020,0,NA,FALSE
09672451,2021,0,NA,FALSE
09672454,2018,0,NA,FALSE
09672454,2019,0,NA,FALSE
09672454,2020,0,NA,FALSE
09672454,2021,0,NA,FALSE
09672455,2018,0,NA,FALSE
09672455,2019,0,NA,FALSE
09672455,2020,0,NA,FALSE
09672455,2021,0,NA,FALSE
09672456,2020,0,2018,TRUE
09672456,2021,0,2018,TRUE
09672457,2018,0,NA,FALSE
09672457,2019,0,NA,FALSE
09672457,2020,0,NA,FALSE
09672457,2021,0,NA,FALSE
09672458,2018,0,NA,FALSE
09672458,2019,0,NA,FALSE
09672458,2020,0,NA,FALSE
09672458,2021,0,NA,FALSE
09672461,2018,0,NA,FALSE
09672461,2019,0,NA,FALSE
09672461,2020,0,NA,FALSE
09672461,2021,0,NA,FALSE
09672462,2021,0,2018,TRUE
09672463,2018,0,NA,FALSE
09672463,2019,0,NA,FALSE
09672463,2020,0,NA,FALSE
09672463,2021,0,NA,FALSE
09672464,2018,0,NA,FALSE
09672464,2019,0,NA,FALSE
09672464,2020,0,NA,FALSE
09672464,2021,0,NA,FALSE
09672465,2020,0,2018,TRUE
09672465,2021,0,2018,TRUE
09672466,2018,0,NA,FALSE
09672466,2019,0,NA,FALSE
09672466,2020,0,NA,FALSE
09672466,2021,0,NA,FALSE
09672468,2018,0,NA,FALSE
09672468,2019,0,NA,FALSE
09672468,2020,0,NA,FALSE
09672468,2021,0,NA,FALSE
09673451,2018,0,NA,FALSE
09673451,2019,0,NA,FALSE
09673451,2020,0,NA,FALSE
09673451,2021,0,NA,FALSE
09673452,2018,0,NA,FALSE
09673452,2019,0,NA,FALSE
09673452,2020,0,NA,FALSE
09673452,2021,0,NA,FALSE
09673453,2018,0,NA,FALSE
09673453,2019,0,NA,FALSE
09673453,2020,0,NA,FALSE
09673453,2021,0,NA,FALSE
09673454,2018,0,NA,FALSE
09673454,2019,0,NA,FALSE
09673454,2020,0,NA,FALSE
09673454,2021,0,NA,FALSE
09673455,2018,0,NA,FALSE
09673455,2019,0,NA,FALSE
09673455,2020,0,NA,FALSE
09673455,2021,0,NA,FALSE
09673456,2018,0,NA,FALSE
09673456,2019,0,NA,FALSE
09673456,2020,0,NA,FALSE
09673456,2021,0,NA,FALSE
09673457,2018,0,NA,FALSE
09673457,2019,0,NA,FALSE
09673457,2020,0,NA,FALSE
09673457,2021,0,NA,FALSE
09673458,2018,0,NA,FALSE
09673458,2019,0,NA,FALSE
09673458,2020,0,NA,FALSE
09673458,2021,0,NA,FALSE
09676452,2018,0,NA,FALSE
09676452,2019,0,NA,FALSE
09676452,2020,0,NA,FALSE
09676452,2021,0,NA,FALSE
09676455,2018,0,NA,FALSE
09676455,2019,0,NA,FALSE
09676455,2020,0,NA,FALSE
09676455,2021,0,NA,FALSE
09677452,2021,0,2018,TRUE
09677453,2018,0,NA,FALSE
09677453,2019,0,NA,FALSE
09677453,2020,0,NA,FALSE
09677453,2021,0,NA,FALSE
09677454,2021,0,2018,TRUE
09677455,2020,0,2018,TRUE
09677455,2021,0,2018,TRUE
09677456,2021,0,2018,TRUE
09677457,2018,0,NA,FALSE
09677457,2019,0,NA,FALSE
09677457,2020,0,NA,FALSE
09677457,2021,0,NA,FALSE
09677458,2018,0,NA,FALSE
09677458,2019,0,NA,FALSE
09677458,2020,0,NA,FALSE
09677458,2021,0,NA,FALSE
09677459,2018,0,NA,FALSE
09677459,2019,0,NA,FALSE
09677459,2020,0,NA,FALSE
09677459,2021,0,NA,FALSE
09677461,2018,0,NA,FALSE
09677461,2019,0,NA,FALSE
09677461,2020,0,NA,FALSE
09677461,2021,0,NA,FALSE
09677463,2018,0,NA,FALSE
09677463,2019,0,NA,FALSE
09677463,2020,0,NA,FALSE
09677463,2021,0,NA,FALSE
09678451,2018,0,NA,FALSE
09678451,2019,0,NA,FALSE
09678451,2020,0,NA,FALSE
09678451,2021,0,NA,FALSE
09678452,2018,0,NA,FALSE
09678452,2019,0,NA,FALSE
09678452,2020,0,NA,FALSE
09678452,2021,0,NA,FALSE
09678453,2020,0,2018,TRUE
09678453,2021,0,2018,TRUE
09678454,2018,0,NA,FALSE
09678454,2019,0,NA,FALSE
09678454,2020,0,NA,FALSE
09678454,2021,0,NA,FALSE
09678455,2018,0,NA,FALSE
09678455,2019,0,NA,FALSE
09678455,2020,0,NA,FALSE
09678455,2021,0,NA,FALSE
09678456,2018,0,NA,FALSE
09678456,2019,0,NA,FALSE
09678456,2020,0,NA,FALSE
09678456,2021,0,NA,FALSE
09678457,2018,0,NA,FALSE
09678457,2019,0,NA,FALSE
09678457,2020,0,NA,FALSE
09678457,2021,0,NA,FALSE
09679451,2018,0,NA,FALSE
09679451,2019,0,NA,FALSE
09679451,2020,0,NA,FALSE
09679451,2021,0,NA,FALSE
09679452,2021,0,2018,TRUE
09679453,2021,0,2018,TRUE
09772451,2015,0,NA,FALSE
09772451,2016,0,NA,FALSE
09772451,2017,0,NA,FALSE
09772451,2018,0,NA,FALSE
09772451,2019,0,NA,FALSE
09772451,2020,0,NA,FALSE
09772451,2021,0,NA,FALSE
09774451,2018,0,NA,FALSE
09774451,2019,0,NA,FALSE
09774451,2020,0,NA,FALSE
09774451,2021,0,NA,FALSE
09774452,2018,0,NA,FALSE
09774452,2019,0,NA,FALSE
09774452,2020,0,NA,FALSE
09774452,2021,0,NA,FALSE
09775451,2021,0,2018,TRUE
09775452,2018,0,NA,FALSE
09775452,2019,0,NA,FALSE
09775452,2020,0,NA,FALSE
09775452,2021,0,NA,FALSE
09775454,2018,0,NA,FALSE
09775454,2019,0,NA,FALSE
09775454,2020,0,NA,FALSE
09775454,2021,0,NA,FALSE
09775455,2018,0,NA,FALSE
09775455,2019,0,NA,FALSE
09775455,2020,0,NA,FALSE
09775455,2021,0,NA,FALSE
09778451,2015,0,NA,FALSE
09778451,2016,0,NA,FALSE
09778451,2017,0,NA,FALSE
09778451,2018,0,NA,FALSE
09778451,2019,0,NA,FALSE
09778451,2020,0,NA,FALSE
09778451,2021,0,NA,FALSE
09779452,2018,0,NA,FALSE
09779452,2019,0,NA,FALSE
09779452,2020,0,NA,FALSE
09779452,2021,0,NA,FALSE
09779453,2018,0,NA,FALSE
09779453,2019,0,NA,FALSE
09779453,2020,0,NA,FALSE
09779453,2021,0,NA,FALSE
09780451,2015,0,NA,FALSE
09780451,2016,0,NA,FALSE
09780451,2017,0,NA,FALSE
09780451,2018,0,NA,FALSE
09780451,2019,0,NA,FALSE
09780451,2020,0,NA,FALSE
09780451,2021,0,NA,FALSE
16074082,2020,0,2015,TRUE
