AGS;100_1;100_2;100_6;100_16;100_30;100_50;200_1;200_2;200_6;200_16;200_30;200_50
07131077;99;99;99;99;98;97;99;99;99;0;0;0
07131082;97;97;97;75;64;42;33;33;28;0;0;0
07131090;80;65;44;40;39;28;100;100;99;50;50;0
07131502;98;98;93;83;83;69;99;99;76;0;0;0
07131501;68;60;51;4;4;4;94;94;94;0;0;0
07131211;100;100;100;98;66;62;84;84;81;0;0;0
07132006;100;100;100;100;100;100;99;99;98;0;0;0
03359035;86;85;83;71;50;35;90;90;87;0;0;0
06438004;100;100;100;99;97;95;100;100;100;99;0;0
07132023;100;100;99;41;40;35;100;100;98;0;0;0
07132011;91;89;83;77;52;21;97;97;97;0;0;0
07132015;96;96;96;81;56;10;100;100;100;0;0;0
07132014;92;92;92;92;65;16;93;91;91;0;0;0
06438005;100;100;100;100;99;98;100;100;100;0;0;0
07132018;99;99;99;53;35;21;99;98;96;0;0;0
08125103;24;23;23;21;21;21;93;93;93;69;66;0
08125098;100;100;99;97;90;74;96;95;95;0;0;0
08125107;85;80;65;55;52;52;84;84;79;0;0;0
08125108;92;91;79;76;75;75;91;91;87;0;0;0
08125102;100;100;99;99;99;98;100;100;100;0;0;0
08126028;93;92;83;79;78;78;94;94;94;0;0;0
08126046;95;95;93;91;90;88;93;93;92;0;0;0
16071097;93;93;92;92;89;25;96;96;96;0;0;0
08126056;87;85;81;79;77;73;73;73;73;0;0;0
08126039;89;88;88;88;88;80;88;87;87;0;0;0
08126047;90;88;79;70;69;63;97;97;96;0;0;0
08127056;99;99;99;95;94;87;87;81;69;0;0;0
13074093;81;80;58;42;34;19;87;86;83;0;0;0
08136003;92;91;86;78;31;2;99;99;99;0;0;0
08136002;97;92;85;71;59;56;90;89;85;0;0;0
08136024;100;96;84;66;39;39;100;100;100;0;0;0
08136020;94;91;85;81;80;73;94;94;92;0;0;0
08136021;99;99;98;94;85;85;46;29;18;0;0;0
08136019;97;97;93;91;87;83;99;99;97;0;0;0
08136028;100;100;99;99;93;92;97;97;97;0;0;0
08136027;78;69;53;44;42;42;93;93;91;0;0;0
08136038;99;99;97;96;94;94;94;94;93;0;0;0
08136037;96;93;73;73;71;68;96;96;87;0;0;0
03451001;96;96;93;85;76;62;99;99;98;0;0;0
07132050;100;97;84;42;39;35;98;98;98;0;0;0
03152005;0;0;0;0;0;0;100;100;100;0;0;0
12063036;99;99;97;72;46;42;100;100;100;0;0;0
06535018;73;65;46;37;33;22;97;97;96;0;0;0
03452012;91;91;87;82;72;56;100;100;100;0;0;0
03452011;97;96;92;90;89;87;100;100;100;0;0;0
03452014;91;90;84;77;73;70;100;100;100;0;0;0
09575152;99;99;98;97;90;45;99;99;99;0;0;0
03452013;99;99;98;98;98;98;100;95;95;0;0;0
14523160;99;99;98;95;89;80;95;88;84;0;0;0
09577148;97;97;95;95;95;95;98;98;98;0;0;0
09274120;96;95;92;83;78;62;97;97;97;0;0;0
01057062;100;100;100;100;95;92;100;100;82;0;0;0
09479159;98;98;98;92;88;68;100;100;100;0;0;0
07132074;97;97;97;92;45;13;98;98;98;0;0;0
09275138;98;98;97;90;81;62;94;94;88;30;30;0
16061097;97;97;97;87;87;87;100;100;99;0;0;0
07132076;99;98;85;48;44;36;100;52;43;0;0;0
07132077;4;4;4;4;4;4;100;79;79;69;0;0
09276113;93;93;92;87;78;59;95;95;92;1;1;0
09278113;98;98;97;89;77;44;100;100;100;99;99;0
09278171;93;93;89;82;77;70;86;86;84;65;64;0
09371111;97;97;96;96;96;96;100;100;100;90;0;0
13075015;77;75;64;42;34;25;77;77;74;0;0;0
14523245;98;98;94;61;51;34;90;90;90;0;0;0
13075075;91;91;91;79;51;40;37;37;37;0;0;0
09371154;75;74;61;51;50;50;95;95;92;0;0;0
09372150;82;81;75;69;61;38;96;96;93;31;31;0
09372169;94;92;87;76;64;39;99;99;97;14;14;0
09373126;98;98;96;90;80;55;96;96;95;0;0;0
09374121;99;99;97;92;92;90;98;98;97;0;0;0
14523250;100;100;99;90;89;87;100;100;100;0;0;0
07132091;100;100;97;91;71;11;100;99;99;0;0;0
09374160;95;95;95;95;94;94;100;100;100;0;0;0
14523260;99;99;97;89;83;81;100;100;100;0;0;0
09577173;99;98;97;96;94;94;97;97;97;5;0;0
13075036;92;86;64;31;23;6;96;94;92;0;0;0
13075082;83;82;69;25;12;3;99;99;96;0;0;0
13075083;99;97;86;71;16;16;100;100;100;0;0;0
07132103;98;98;42;29;29;29;100;100;100;0;0;0
09671156;100;100;100;100;80;32;100;100;100;0;0;0
09471214;100;100;98;95;95;91;93;93;90;0;0;0
16071101;97;97;96;90;88;74;89;88;77;0;0;0
16073002;93;93;14;8;8;7;100;100;100;0;0;0
09472156;98;98;98;96;90;36;90;90;84;0;0;0
16073005;98;95;92;82;9;6;99;99;99;10;0;0
14524010;98;98;98;64;63;57;100;100;100;0;0;0
09678452;0;0;0;0;0;0;0;0;0;0;0;0
14626350;94;93;90;86;86;72;100;100;99;0;0;0
14626370;92;90;69;14;14;14;100;100;99;6;0;0
09474138;100;99;99;99;94;73;66;66;65;0;0;0
05166004;98;98;98;96;87;80;100;100;100;0;0;0
05162024;100;100;99;99;97;95;100;100;97;0;0;0
03462013;100;100;97;93;90;85;100;100;100;0;0;0
07134056;99;99;95;91;91;91;88;88;44;0;0;0
07134059;97;97;94;94;94;94;100;100;12;0;0;0
07134060;98;98;98;97;97;97;100;100;100;0;0;0
06532004;99;99;97;96;95;94;99;99;94;0;0;0
07137105;99;99;98;49;34;21;100;97;97;0;0;0
07137212;96;96;93;84;66;31;100;94;94;0;0;0
07141006;100;100;99;98;98;92;100;100;100;0;0;0
08128006;99;99;98;97;88;85;100;100;100;0;0;0
08128039;99;99;84;34;20;6;98;98;97;0;0;0
07231025;75;73;72;72;72;67;98;98;98;0;0;0
07231024;99;99;63;2;2;2;100;100;100;0;0;0
07231029;95;94;87;87;86;70;93;92;92;0;0;0
07233211;95;95;95;89;89;50;65;65;34;0;0;0
07140147;97;97;95;70;70;70;100;100;100;0;0;0
07233224;94;94;93;80;74;24;97;97;97;0;0;0
14625120;97;97;96;93;75;47;94;94;93;22;0;0
09771165;99;99;99;41;28;23;100;100;100;0;0;0
14625190;95;95;95;81;60;25;100;100;96;0;0;0
14626480;96;96;90;58;45;22;73;32;27;0;0;0
09474158;99;98;97;97;93;50;92;92;89;0;0;0
09475189;92;86;76;39;24;14;84;84;59;0;0;0
09477156;98;98;98;97;96;95;99;99;98;0;0;0
09477164;84;84;84;84;84;83;93;93;91;0;0;0
07133027;98;98;98;98;98;5;99;99;99;0;0;0
03454017;83;81;75;71;46;21;97;97;97;0;0;0
09478165;99;99;99;98;97;93;98;98;98;0;0;0
09479152;97;97;96;96;96;95;98;98;89;0;0;0
14627360;97;83;63;49;40;34;100;100;100;100;0;0
09571199;98;97;96;94;90;80;100;100;99;0;0;0
07133025;91;91;84;83;83;83;90;90;90;0;0;0
03454025;88;88;83;80;78;38;99;99;99;0;0;0
03454026;89;87;76;70;52;36;96;96;96;0;0;0
14628390;97;97;88;43;38;25;99;99;96;83;0;0
16064023;90;90;90;90;90;4;99;99;99;0;0;0
03454034;90;88;70;33;20;12;96;94;78;0;0;0
03454035;95;94;92;89;87;81;97;97;96;0;0;0
14730020;92;90;73;30;28;28;100;100;100;0;0;0
03454032;99;98;98;96;95;93;100;99;98;0;0;0
03454033;95;95;94;81;64;40;100;100;100;0;0;0
16074039;97;96;95;91;88;81;97;97;94;0;0;0
14730080;96;96;96;93;92;69;99;99;98;11;0;0
15081240;79;78;68;53;46;36;93;92;91;0;0;0
07231068;79;78;77;77;77;59;97;96;96;0;0;0
07231070;97;96;88;62;62;56;96;96;93;0;0;0
07133052;99;99;98;97;97;97;99;96;96;0;0;0
03456001;96;96;94;84;75;69;100;100;99;0;0;0
07133099;97;96;95;94;92;32;100;100;100;0;0;0
07133100;97;97;97;97;96;29;78;78;45;0;0;0
07133101;100;100;97;97;97;45;100;100;100;0;0;0
07133065;100;100;100;61;54;48;100;100;100;0;0;0
07133091;97;97;96;96;96;96;32;32;22;0;0;0
07133103;100;100;88;84;84;84;100;100;100;0;0;0
07133107;100;100;99;95;94;94;100;100;100;0;0;0
03458007;92;92;90;81;72;60;100;100;99;0;0;0
07133110;97;97;97;85;85;85;100;100;100;0;0;0
07133109;98;98;98;86;77;47;100;100;100;0;0;0
03462001;95;94;93;82;66;59;100;100;100;0;0;0
03462002;82;81;75;66;54;49;100;100;100;0;0;0
03459009;86;86;82;72;50;23;99;99;99;0;0;0
03459010;94;93;91;86;81;78;100;100;100;0;0;0
08216008;99;99;99;95;91;87;94;94;90;0;0;0
03459021;99;98;97;96;95;92;100;100;100;0;0;0
03459020;98;98;96;89;86;83;100;100;99;0;0;0
03459019;99;98;97;96;95;93;100;100;100;1;1;0
07133501;100;99;98;98;98;97;99;96;96;0;0;0
03459024;93;92;88;78;69;60;99;99;96;0;0;0
03459025;79;76;62;34;15;11;99;99;96;0;0;0
07133205;94;90;90;90;90;90;100;100;100;0;0;0
05120000;100;100;99;99;97;96;100;99;94;0;0;0
05154012;98;98;97;93;90;81;99;99;73;0;0;0
03461009;94;94;90;84;73;60;100;100;92;0;0;0
05162020;99;99;98;95;89;86;100;100;99;0;0;0
05162022;100;100;100;99;95;90;100;100;95;0;0;0
05162016;100;100;100;99;96;87;100;100;100;0;0;0
05162028;99;99;99;99;99;99;100;100;96;0;0;0
05166032;99;99;99;98;95;93;100;97;94;0;0;0
16063029;4;2;1;1;1;1;77;77;77;0;0;0
05334012;100;100;100;100;99;96;100;97;82;0;0;0
05316000;100;100;100;100;99;98;100;100;98;0;0;0
05334004;100;100;100;99;98;98;99;99;97;0;0;0
05334008;100;100;100;100;100;100;97;94;91;0;0;0
05334002;100;100;100;100;99;99;99;97;93;0;0;0
08216013;86;86;71;33;32;28;64;64;63;0;0;0
08216015;100;99;98;98;97;97;98;98;97;10;0;0
08216017;100;100;99;98;97;95;96;96;95;0;0;0
07134026;90;90;90;90;90;61;100;100;100;0;0;0
06432001;100;100;100;100;100;99;100;100;100;0;0;0
07134045;100;100;99;97;95;91;99;99;97;0;0;0
13071087;76;76;73;65;61;45;88;88;88;0;0;0
13071084;52;31;18;7;7;7;100;100;100;100;0;0
13071113;93;93;93;87;87;84;100;100;100;0;0;0
07134068;99;99;99;99;99;68;99;99;99;0;0;0
07134069;99;99;97;91;90;81;99;99;98;0;0;0
07134058;93;90;88;88;76;44;100;100;100;0;0;0
07134062;100;100;100;93;93;72;100;100;100;0;0;0
06433002;100;100;100;99;97;96;100;100;96;0;0;0
07134066;82;80;80;80;80;80;100;100;100;0;0;0
07134075;94;93;84;84;83;83;99;99;99;0;0;0
16063032;86;84;79;21;20;19;97;97;96;0;0;0
07231123;97;97;97;60;42;18;100;100;99;0;0;0
07231124;95;93;91;90;89;86;94;94;94;0;0;0
07134095;100;99;20;2;2;2;94;94;93;0;0;0
07135008;98;98;97;97;97;76;99;81;76;0;0;0
07135013;93;93;93;93;93;78;95;95;25;0;0;0
07135017;99;99;99;99;98;92;100;100;100;0;0;0
07135018;100;100;100;100;100;100;100;100;100;0;0;0
16064061;100;100;6;6;6;6;73;73;63;0;0;0
07135053;100;100;100;100;100;99;100;100;98;0;0;0
07135054;94;94;94;94;94;94;100;100;100;0;0;0
07140063;99;98;98;98;98;96;96;96;96;0;0;0
07135036;99;99;99;99;99;99;99;99;97;0;0;0
07135037;94;93;91;91;91;34;99;99;97;0;0;0
07135061;95;95;95;95;95;95;99;99;99;0;0;0
07135064;97;97;97;97;97;66;64;64;16;0;0;0
07135066;100;100;100;100;96;96;100;100;100;0;0;0
07135067;97;97;97;97;97;84;100;76;72;0;0;0
07135071;98;98;97;97;96;59;100;100;100;0;0;0
07135072;100;100;99;99;99;96;100;100;100;0;0;0
07135079;99;99;99;98;85;84;99;99;99;0;0;0
13071004;97;97;92;40;39;37;100;100;99;0;0;0
06535016;76;74;48;20;19;19;100;100;100;70;0;0
06439006;99;99;99;97;83;43;97;97;97;0;0;0
06535017;97;97;77;62;51;38;100;100;100;0;0;0
06535014;85;83;68;68;68;67;87;87;72;0;0;0
06535015;89;86;84;84;83;80;100;100;100;0;0;0
06631015;98;98;97;97;94;92;97;97;96;0;0;0
06631016;99;99;98;98;94;84;96;96;95;0;0;0
07135092;99;99;92;54;47;35;99;99;97;0;0;0
06631017;99;99;99;98;97;94;100;100;95;0;0;0
07137007;91;84;59;29;29;29;94;89;88;73;0;0
07137004;11;11;11;11;11;11;100;100;100;100;0;0
07137006;7;7;7;7;7;7;97;97;97;94;0;0
07137008;99;99;98;98;97;37;100;100;70;0;0;0
07137003;100;100;99;99;97;95;100;100;100;0;0;0
07137001;79;79;79;79;79;79;100;100;100;100;0;0
07137025;96;95;95;95;95;95;100;100;100;100;0;0
07137114;96;96;96;96;93;93;64;64;49;0;0;0
07137201;98;98;98;98;91;51;100;99;99;0;0;0
07132114;98;98;81;46;45;45;95;95;83;0;0;0
07137203;100;100;100;99;98;97;96;96;94;0;0;0
07137219;89;89;89;88;87;73;100;95;90;0;0;0
06440016;99;99;99;98;98;97;98;98;98;19;0;0
13071038;54;32;0;0;0;0;100;100;100;0;0;0
07137057;99;99;96;95;94;94;100;100;100;0;0;0
07137226;100;99;99;99;98;97;100;100;98;0;0;0
07137068;99;99;98;98;98;95;97;95;95;79;0;0
07137069;99;99;98;94;94;93;100;100;100;1;0;0
07137074;93;93;93;91;91;90;98;98;98;0;0;0
07137086;95;95;94;85;84;83;100;100;99;0;0;0
07137081;99;99;99;97;97;96;100;100;100;0;0;0
06633026;100;100;100;100;96;93;100;100;95;0;0;0
07137089;97;97;96;91;90;90;100;100;100;24;0;0
07137093;100;100;91;81;80;80;99;99;99;0;0;0
07235045;99;99;96;40;32;27;98;97;97;0;0;0
06532001;99;98;98;97;93;83;99;99;99;0;0;0
06636009;89;66;62;37;9;8;99;99;90;0;0;0
13076005;88;84;77;72;67;60;100;98;97;0;0;0
13076006;94;94;94;94;94;94;93;93;81;0;0;0
13076007;96;96;2;2;2;2;95;95;72;0;0;0
07137221;94;94;94;93;93;93;100;100;100;0;0;0
07137501;98;96;89;76;74;74;97;97;92;0;0;0
06533010;97;97;96;94;93;90;87;85;77;0;0;0
06533013;98;98;97;97;97;93;100;99;99;28;0;0
07138006;91;91;90;88;88;88;100;100;97;17;17;0
07138010;96;96;94;94;94;94;100;100;100;0;0;0
07138009;99;94;90;90;90;90;100;100;98;0;0;0
07138012;99;99;99;97;96;96;97;96;95;0;0;0
07138013;98;98;98;91;66;8;99;99;98;0;0;0
07138076;99;99;99;95;95;95;100;100;100;0;0;0
07138077;98;98;98;96;83;66;100;100;99;0;0;0
06534016;100;100;98;95;91;65;100;100;100;0;0;0
06534015;98;97;96;96;87;31;97;95;92;0;0;0
06534018;99;99;99;99;91;68;99;98;92;0;0;0
06534017;98;98;98;97;93;39;99;99;86;0;0;0
07138065;98;96;91;91;91;91;100;100;98;0;0;0
07138068;95;94;93;92;90;86;97;97;96;61;61;0
06632010;74;71;63;42;37;31;99;99;99;0;0;0
06632015;86;75;59;14;12;10;100;100;100;0;0;0
06632014;55;43;27;16;8;2;100;100;97;0;0;0
07132041;93;93;93;91;91;91;100;100;100;0;0;0
07138080;91;83;46;11;7;5;98;98;97;22;11;0
07138501;93;92;91;90;90;90;98;98;88;49;40;0
07140001;95;69;69;68;68;68;100;100;100;0;0;0
07140003;80;79;79;79;79;79;100;100;97;0;0;0
07140075;78;78;78;78;77;76;100;100;96;0;0;0
07140009;79;71;71;64;63;63;100;100;100;0;0;0
07140010;86;80;72;70;67;67;81;77;67;0;0;0
07140021;98;92;77;77;77;77;90;90;79;0;0;0
07140036;100;100;96;83;73;61;98;98;96;0;0;0
07140041;100;100;100;89;79;56;99;64;64;0;0;0
07140043;98;98;97;96;93;81;100;74;63;0;0;0
07140045;99;99;84;75;75;75;100;100;100;0;0;0
07140060;79;79;65;65;65;65;100;100;100;0;0;0
07140067;100;100;99;97;96;96;100;100;100;0;0;0
16061096;91;91;91;80;80;80;100;100;100;0;0;0
07141079;96;96;93;89;89;86;85;85;84;0;0;0
07140093;98;98;11;0;0;0;99;99;99;0;0;0
07140102;93;81;65;65;65;65;99;95;94;0;0;0
07140104;96;88;88;88;88;88;99;99;99;0;0;0
07132051;98;98;98;98;77;31;100;100;100;0;0;0
07140112;98;98;96;96;96;96;97;97;97;0;0;0
07140116;67;67;67;67;67;67;81;81;75;0;0;0
07140119;87;86;86;86;86;86;100;100;100;0;0;0
07140127;93;92;92;92;92;92;81;81;77;0;0;0
07140134;71;71;71;71;71;71;94;92;92;0;0;0
07140133;98;97;94;94;94;93;91;83;83;0;0;0
16063013;83;83;83;40;34;9;88;88;87;0;0;0
16063015;99;99;90;11;11;10;100;100;100;0;0;0
16063016;98;98;98;95;93;20;100;100;100;0;0;0
16063014;100;100;100;100;87;57;100;100;100;0;0;0
07140504;85;85;85;85;85;85;100;100;99;0;0;0
16063023;96;96;96;2;2;2;100;100;100;0;0;0
07141082;97;97;95;95;95;89;97;97;97;0;0;0
07140164;60;60;60;60;60;60;67;67;54;0;0;0
07140163;76;74;70;70;70;70;83;75;75;0;0;0
07140501;97;97;97;97;94;82;99;99;99;0;0;0
07140204;82;78;77;77;77;77;100;100;100;0;0;0
07140205;77;77;77;77;77;77;97;97;93;0;0;0
07141002;100;100;100;56;49;42;100;100;100;0;0;0
07140201;87;71;65;65;65;65;84;67;61;0;0;0
07140202;67;67;67;67;67;67;98;97;93;0;0;0
08127063;96;95;93;87;86;85;79;79;78;0;0;0
08128047;90;90;84;73;69;57;87;87;86;0;0;0
08128045;100;100;99;89;75;44;99;99;99;0;0;0
07132031;100;100;100;99;61;17;84;84;67;0;0;0
07141018;93;93;93;93;93;93;98;98;97;0;0;0
07141016;91;90;89;89;86;77;99;99;41;0;0;0
07141029;100;100;100;99;95;94;100;100;100;0;0;0
08135031;100;100;99;78;73;70;95;94;84;0;0;0
08135032;98;98;98;97;95;90;100;100;100;0;0;0
07141031;86;86;86;86;86;60;100;100;99;0;0;0
07141064;98;96;85;85;85;83;99;99;50;0;0;0
07141044;92;92;92;92;86;33;100;100;100;0;0;0
07141071;30;4;2;2;2;2;72;72;71;0;0;0
07141072;98;98;98;88;86;79;100;100;100;0;0;0
07141059;100;100;99;99;98;98;100;100;98;0;0;0
07141058;99;99;96;96;96;92;83;83;80;0;0;0
07141061;100;100;100;100;100;100;100;100;100;0;0;0
07141062;99;99;99;99;99;99;100;100;100;0;0;0
07141066;99;99;99;95;85;60;100;100;100;0;0;0
09177113;99;99;98;94;91;84;83;83;73;0;0;0
07141075;100;99;98;97;95;94;100;100;100;0;0;0
07141085;98;98;96;89;75;67;92;90;90;0;0;0
07141092;100;99;97;93;90;87;100;99;99;0;0;0
07141091;99;99;99;95;94;88;100;99;99;0;0;0
07141096;86;86;86;86;86;83;96;96;92;0;0;0
08118011;100;100;100;99;99;99;100;100;100;43;0;0
08118012;99;99;99;98;96;84;100;100;99;41;0;0
07141099;100;98;93;91;91;90;74;74;74;0;0;0
08215021;99;99;97;97;97;97;100;100;100;0;0;0
07141103;99;99;86;86;86;41;100;100;100;0;0;0
07233215;100;100;99;96;95;95;99;99;97;0;0;0
07141114;93;93;6;6;6;6;54;51;49;0;0;0
07141121;99;99;94;84;83;83;92;91;91;0;0;0
07141122;98;96;89;89;76;20;100;100;95;0;0;0
07132501;99;99;98;93;87;76;100;100;100;0;0;0
07141129;98;98;98;98;96;51;91;91;91;0;0;0
07141135;98;98;89;89;89;80;97;97;97;0;0;0
06635013;67;51;34;27;24;23;96;96;92;0;0;0
07131007;99;98;97;97;96;95;100;100;99;2;2;0
07131005;97;95;2;2;2;2;100;99;99;96;0;0
07131006;100;99;83;68;68;68;100;97;96;1;0;0
07131021;100;100;6;6;6;6;1;1;1;0;0;0
07131030;64;13;2;2;2;2;100;100;100;99;0;0
07131029;95;95;18;6;6;6;78;78;78;0;0;0
07131028;96;96;3;3;3;3;100;100;100;0;0;0
07131027;43;43;33;4;4;4;83;79;79;26;26;0
07131037;7;6;1;1;1;1;65;64;60;0;0;0
07131040;95;95;95;95;95;70;88;88;88;27;21;0
07131039;93;79;29;2;2;2;24;24;24;0;0;0
07131047;62;62;3;3;3;3;90;90;90;82;82;0
07131044;94;92;21;6;6;6;90;41;14;0;0;0
16074003;100;99;99;98;98;98;100;100;100;0;0;0
07131051;99;99;98;98;98;92;100;100;100;0;0;0
16074002;49;22;5;5;5;5;31;31;28;17;0;0
07131054;97;93;76;76;75;75;100;100;100;89;89;0
07131055;97;95;92;71;68;67;100;100;100;4;4;0
07131065;1;1;1;0;0;0;84;84;84;80;0;0
07131062;86;86;1;1;1;1;14;7;2;0;0;0
07131072;97;97;97;97;96;34;100;100;93;0;0;0
07131069;7;7;7;6;6;6;100;100;100;98;0;0
07131070;99;96;80;69;67;64;100;100;100;47;47;0
07131075;95;95;8;8;8;8;100;100;100;100;0;0
07131074;99;99;12;1;1;1;95;95;95;0;0;0
07131079;3;3;3;3;3;3;100;100;100;100;0;0
07141137;98;98;98;54;47;41;100;100;100;0;0;0
07141138;99;99;98;98;97;93;95;95;92;0;0;0
07141139;100;100;100;100;97;82;46;46;40;0;0;0
07141136;100;100;99;98;94;94;72;72;72;0;0;0
07141201;100;100;100;99;99;99;96;96;96;0;0;0
07141501;100;100;99;99;99;96;95;94;92;0;0;0
07143006;98;98;98;98;98;65;98;98;98;0;0;0
07143013;99;99;98;97;97;96;100;100;100;0;0;0
07143021;95;95;95;95;95;95;100;100;100;0;0;0
07143020;99;90;89;89;89;89;78;78;78;0;0;0
07143032;100;100;100;99;94;91;100;100;100;0;0;0
07143031;99;98;96;96;96;92;100;100;100;0;0;0
07231021;0;0;0;0;0;0;88;88;80;0;0;0
07143039;100;100;100;98;98;93;100;100;100;0;0;0
07143050;100;100;100;99;98;98;100;100;100;0;0;0
07143045;94;93;93;93;93;93;100;83;54;0;0;0
07143048;99;99;99;97;93;90;99;99;97;0;0;0
07143081;100;100;100;100;100;99;100;100;100;0;0;0
07143071;100;100;99;97;97;97;100;100;100;0;0;0
07143229;99;99;99;99;97;96;100;100;100;0;0;0
07143242;97;96;93;92;92;92;100;100;99;0;0;0
07143263;99;99;99;99;99;99;100;100;97;0;0;0
07143265;95;95;95;95;95;94;100;100;100;0;0;0
08225075;99;99;98;95;91;72;94;93;46;0;0;0
08225109;99;99;99;97;94;84;92;91;89;0;0;0
08225091;99;99;99;95;91;65;85;85;85;0;0;0
08226013;99;98;97;95;92;90;98;95;92;0;0;0
07143306;92;92;92;92;92;92;100;100;100;0;0;0
07231122;100;100;84;84;84;84;93;93;93;0;0;0
07143308;99;99;99;98;98;97;100;100;100;0;0;0
07211000;100;100;100;99;97;96;100;100;98;0;0;0
07231013;96;96;96;94;53;18;26;26;26;0;0;0
07231012;89;88;78;72;72;37;99;99;99;0;0;0
07231026;95;95;95;95;93;80;99;99;99;0;0;0
07135027;100;100;100;100;100;99;82;82;82;0;0;0
07231033;99;99;99;99;99;99;100;100;100;0;0;0
07231036;76;76;76;76;76;76;70;70;51;0;0;0
07231041;99;98;95;94;94;93;100;100;100;0;0;0
07135029;100;100;100;100;100;100;99;99;99;0;0;0
07232005;86;86;86;85;83;70;84;84;84;0;0;0
13075101;86;86;68;57;55;41;89;89;67;0;0;0
07231046;84;82;81;81;80;80;100;100;100;0;0;0
07232008;100;100;98;93;93;93;0;0;0;0;0;0
07231053;100;100;98;87;84;80;100;100;100;0;0;0
07231054;98;98;86;86;85;85;100;100;100;0;0;0
16066045;100;100;4;4;4;3;100;100;100;0;0;0
16066044;100;100;100;100;99;32;67;67;43;0;0;0
07231058;98;98;98;97;87;86;100;100;100;0;0;0
16066047;99;99;98;97;97;96;99;99;99;0;0;0
16066052;99;99;99;28;12;8;100;100;100;0;0;0
07332002;100;100;99;96;92;86;100;99;98;0;0;0
07332001;96;96;91;91;88;72;100;100;99;0;0;0
07231082;95;95;95;94;94;30;100;100;100;0;0;0
07231095;98;98;97;80;80;80;99;99;99;0;0;0
07231096;93;85;79;79;79;79;99;99;99;0;0;0
07231100;86;86;86;86;86;76;95;95;94;0;0;0
07231101;99;99;98;88;88;88;100;100;100;0;0;0
07231104;95;88;5;5;5;5;100;100;99;0;0;0
07231108;85;79;77;76;74;74;46;46;46;0;0;0
07231110;97;97;97;97;97;89;100;100;100;0;0;0
07231116;92;92;80;77;77;77;100;100;100;0;0;0
07231117;99;99;86;86;85;45;100;100;100;0;0;0
07332016;98;98;98;92;89;77;10;10;10;0;0;0
07231133;76;74;74;74;74;47;100;83;83;0;0;0
07231136;100;100;100;98;98;95;100;100;99;0;0;0
07231134;100;99;99;96;96;95;97;97;97;14;0;0
07232003;100;100;100;0;0;0;99;99;96;0;0;0
07232012;62;19;0;0;0;0;0;0;0;0;0;0
07232011;8;5;5;5;5;5;72;72;42;12;0;0
07232016;93;93;92;92;90;75;87;84;0;0;0;0
07232018;99;99;99;97;94;90;99;98;97;0;0;0
07232019;99;99;97;94;92;82;1;1;1;0;0;0
07232027;100;100;100;83;58;6;100;100;100;0;0;0
07232063;96;96;96;25;20;6;97;97;96;0;0;0
07232064;85;85;85;79;29;14;57;57;27;0;0;0
07232038;20;13;4;4;4;4;1;1;1;0;0;0
07137215;72;72;72;72;72;72;98;98;96;0;0;0
07137214;86;86;79;79;79;79;97;97;97;0;0;0
07137049;2;2;2;2;2;2;100;100;100;98;0;0
16064071;100;99;95;95;94;41;84;84;79;0;0;0
16064072;99;99;99;96;93;11;90;90;37;0;0;0
16064073;99;99;97;88;88;72;99;99;99;0;0;0
16064075;100;100;100;99;94;48;99;86;86;0;0;0
16064074;97;97;79;49;48;44;56;56;55;0;0;0
16064066;96;96;96;96;96;66;88;88;82;0;0;0
16065014;97;92;88;61;41;7;95;95;94;0;0;0
16065016;99;99;99;99;97;25;100;100;100;0;0;0
07232072;100;100;100;99;96;85;6;6;0;0;0;0
07232076;99;99;99;97;85;79;94;94;92;0;0;0
07232080;99;99;99;58;33;4;6;6;6;0;0;0
07138045;100;100;100;99;98;97;100;100;100;0;0;0
07138044;95;94;91;86;84;33;98;97;96;0;0;0
07232102;94;94;93;93;59;14;27;27;26;0;0;0
07232305;97;97;84;84;82;68;50;50;50;0;0;0
07138034;99;99;95;94;94;94;100;100;100;0;0;0
07232113;92;92;90;72;64;25;66;66;66;0;0;0
07232321;92;92;92;83;48;9;87;83;81;0;0;0
07232322;94;94;94;59;14;6;100;100;100;0;0;0
07232320;89;89;89;80;45;22;78;78;78;0;0;0
07232120;80;80;80;80;39;7;79;79;79;0;0;0
07232119;90;88;88;88;88;83;84;84;27;0;0;0
07232118;88;88;88;87;84;69;100;100;39;0;0;0
07232121;74;74;71;71;71;71;55;55;55;0;0;0
07232117;75;75;54;4;0;0;90;90;89;0;0;0
07232123;100;100;99;45;30;20;99;99;99;0;0;0
07232125;95;95;94;94;65;16;100;100;100;0;0;0
07332025;100;100;99;98;98;97;100;99;90;0;0;0
07232202;90;86;69;38;26;19;69;30;29;0;0;0
07232201;95;95;95;84;58;37;96;96;95;3;0;0
07232212;81;79;73;71;58;23;60;60;60;0;0;0
07232208;43;35;22;21;18;9;66;66;66;0;0;0
07232207;94;92;90;77;30;7;79;79;72;0;0;0
07232210;97;97;97;45;39;24;47;47;23;0;0;0
07232213;91;91;87;79;68;21;86;86;86;0;0;0
07232206;99;99;90;84;82;77;40;40;40;0;0;0
07232211;12;5;5;5;5;5;97;97;97;0;0;0
07232209;97;97;96;43;25;11;100;100;17;0;0;0
07232214;98;98;98;98;60;11;0;0;0;0;0;0
07232220;83;83;77;75;38;6;77;77;77;0;0;0
07232223;86;86;79;78;65;12;98;98;98;0;0;0
