AGS;100_1;100_2;100_6;100_16;100_30;100_50;200_1;200_2;200_6;200_16;200_30;200_50
09673135;99;99;99;98;95;94;98;98;97;0;0;0
09673160;99;99;99;96;76;53;84;84;84;0;0;0
09673167;100;100;100;98;91;16;74;74;72;0;0;0
15090610;75;71;69;22;14;13;98;98;93;0;0;0
15090550;95;95;92;90;90;89;98;98;98;0;0;0
15090631;82;69;47;47;47;47;82;82;62;0;0;0
15090535;98;97;96;93;89;85;99;99;98;0;0;0
16074104;96;96;96;8;8;8;61;61;52;0;0;0
15090546;71;71;71;70;69;68;91;91;89;0;0;0
16074116;86;85;61;34;32;28;97;97;94;0;0;0
16075003;100;100;100;99;96;95;100;100;100;0;0;0
09675148;98;98;97;97;96;92;100;100;100;0;0;0
16074114;99;99;99;99;98;50;100;100;100;0;0;0
15091010;96;95;91;44;37;28;96;96;96;45;0;0
15091375;99;99;97;95;90;86;100;99;98;0;0;0
16075013;91;89;87;87;87;23;60;60;60;0;0;0
15091145;95;94;88;81;79;75;94;94;92;12;0;0
15091020;95;94;90;57;49;20;98;98;97;0;0;0
16075009;98;98;91;91;91;42;47;47;43;0;0;0
09675158;66;59;54;51;49;25;100;100;100;96;0;0
16075056;1;1;1;1;1;1;95;95;95;90;0;0
16075054;99;99;99;91;79;68;86;86;73;0;0;0
16075063;79;79;79;79;77;12;79;79;73;0;0;0
16075062;98;98;96;95;95;92;97;97;93;0;0;0
16075061;21;6;0;0;0;0;100;100;100;79;0;0
16075071;95;95;94;93;93;92;100;100;100;0;0;0
16075073;98;96;96;95;92;88;100;100;100;14;0;0
16075076;99;99;99;98;98;55;100;100;100;0;0;0
16075083;99;99;99;99;99;61;98;98;98;0;0;0
16075081;93;93;93;93;93;39;78;78;68;0;0;0
16075075;99;99;99;95;59;6;79;79;72;0;0;0
16075077;99;99;99;93;90;82;98;98;98;73;0;0
16075079;100;100;12;12;12;12;95;95;95;0;0;0
09677114;99;99;99;81;72;64;92;92;86;0;0;0
09677129;100;100;100;100;90;62;95;95;93;0;0;0
16075097;44;41;6;6;6;6;94;94;93;0;0;0
09677128;98;98;98;98;84;71;37;37;37;0;0;0
16075098;99;99;98;97;95;86;100;100;100;0;0;0
16075102;24;24;4;4;4;4;73;73;61;0;0;0
16075101;0;0;0;0;0;0;97;97;78;0;0;0
01053053;99;99;99;99;99;99;100;100;100;0;0;0
01053054;85;78;63;63;63;63;100;100;75;0;0;0
14522620;67;62;8;5;4;4;100;100;100;100;0;0
05382012;100;100;99;99;99;99;100;100;99;0;0;0
16076022;99;99;98;97;96;89;100;100;99;0;0;0
14523010;25;25;25;25;24;24;100;100;100;90;90;54
16077048;92;92;92;90;82;79;96;95;95;0;0;0
16077044;76;75;67;64;60;49;100;100;98;0;0;0
16076026;80;64;5;5;5;5;100;100;100;0;0;0
16076023;24;6;5;5;5;5;100;100;100;0;0;0
16077047;84;84;84;84;84;51;100;100;100;0;0;0
16076034;97;97;97;97;96;20;72;72;69;0;0;0
